Locus_tag	Spot_volumes_means (Xm)
y0031	N.A.
y0036	N.A.
y0038	N.A.
y0108	
y0118	N.A.
y0123	N.A.
y0136	N.A.
y0142  	N.A.
y0146	
y0153	N.A.
y0184	N.A.
y0185	N.A.
y0202	N.A.
y0209	N.A.
y0329	
y0363	
y0378	
y0379	N.A.
y0393	
y0407	
y0410	N.A.
y0416	
y0418	
y0442	N.A.
y0448	N.A.
y0539	
y0555	N.A.
y0632	N.A.
y0633	N.A.
y0634	N.A.
y0661	N.A.
y0664	N.A.
y0678	
y0682	N.A.
y0685	
y0695	
y0702	
y0704	
y0735	
y0795	
y0827	
y0833	
y0835	
y0911	N.A.
y0923	N.A.
y0951	N.A.
y0992	
y0993	
y1021	
y1024	
y1031	N.A.
y1049	
y1050	N.A.
y1170	
y1175	
y1176	
y1183	N.A.
y1186	N.A.
y1203	
y1221	N.A.
y1247	N.A.
y1296	
y1314	N.A.
y1321	
y1334	N.A.
y1346	
y1351	
y1353	N.A.
y1355	N.A.
y1356	N.A.
y1376	
y1401	N.A.
y1412	
y1432	N.A.
y1469	N.A.
y1491	N.A.
y1524	N.A.
y1527	
y1576	
y1580	
y1603	
y1673	N.A.
y1767	
y1786	N.A.
y1795	
y1852	
y1863	
y1867	N.A.
y1877	
y1878	
y1896	N.A.
y1919	N.A.
y1926	N.A.
y1928	
y1962	N.A.
y1988	N.A.
y2003	
y2010	
y2037	
y2044	N.A.
y2045	
y2047	N.A.
y2104	N.A.
y2134	
y2135	
y2160	
y2233	N.A.
y2234	N.A.
y2237	
y2263	N.A.
y2270	N.A.
y2292	
y2315	
y2364	N.A.
y2396	
y2397	
y2452	
y2552	
y2553	
y2596	
y2633	N.A.
y2644	
y2647	N.A.
y2661	N.A.
y2677	N.A.
y2731	
y2747	N.A.
y2750	N.A.
y2765	
y2767	N.A.
y2814	
y2826	N.A.
y2836	N.A.
y2864	
y2882	
y2910	
y2913	
y2940	N.A.
y2980	N.A.
y3018	
y3041	
y3058	N.A.
y3074	N.A.
y3076	
y3104	
y3106	N.A.
y3110	
y3235	
y3242	
y3306	
y3311	N.A.
y3341	
y3385	N.A.
y3494	
y3495	
y3560	N.A.
y3586	
y3622	N.A.
y3625	N.A.
y3640	N.A.
y3656	N.A.
y3658	N.A.
y3659	
y3660	
y3664	N.A.
y3665	
y3668	N.A.
y3671	N.A.
y3674	N.A.
y3675	984852 (40%)
y3676	N.A.
y3731	
y3737	
y3760	
y3803	481235 (9%)
y3864	
y3891	
y3924	
y3936	
y3948	
y4020	N.A.
y4043	N.A.
y4088	N.A.
y4117	
y4128	N.A.
y4141	
y4144	
YPKMT066	
Y1020	
y0032	N.A.
y0221	N.A.
y0325	N.A.
y0396	N.A.
y0543	N.A.
y0659	
y0850	N.A.
y1324	N.A.
y1419	
y1577	N.A.
y1682	N.A.
y2167	N.A.
y2358	N.A.
y2359	N.A.
y2404	N.A.
y2556	N.A.
y2735	N.A.
y2759	N.A.
y2872	N.A.
y2966	N.A.
y2983	N.A.
y3054	N.A.
y3127	N.A.
y3343	N.A.
y3404	N.A.
y3480	N.A.
y3516	N.A.
y3680	N.A.
y4083	
YPKp07	N.A.
YP_2181	
y0037	N.A.
y0067	1971283 (50%)
y0084	N.A.
y0098	N.A.
y0137	N.A.
y0163	N.A.
y0194	
y0391	4277116 (20%)
y0542	N.A.
y0546	N.A.
y0556	N.A.
y0596	
y0606	N.A.
y0616	N.A.
y0617	1334573 (59%)
y0686	N.A.
y0696	N.A.
y0722	N.A.
y0733	N.A.
y0766	N.A.
y0767	13407502 (5%)
y0768	4147298 (16%)
y0769	10856523 (32.48%)
y0818	1178247 (23%)
y0870	3428124 (53%)
y0914	N.A.
y0964	1074267 (40%)
y0966	N.A.
y0978	N.A.
y1043	1662504 (36%)
y1064	2141870 (118%)
y1194	N.A.
y1195	N.A.
y1237	N.A.
y1240	N.A.
y1242	N.A.
y1290	N.A.
y1295	N.A.
y1298	
y1357	N.A.
y1362	3158727 (94%)
y1397	N.A.
y1455	907051 (39%)
y1485	4867471 (51%)
y1579	
y1601	
y1611	N.A.
y1631	N.A.
y1632	N.A.
y1633	
y1634	N.A.
y1635	N.A.
y1637	N.A.
y1677	6047163 (42%)
y1794	N.A.
y1845	10944608 (44%)
y1935	
y1936	N.A.
y1980	N.A.
y2023	N.A.
y2168	2071681 (39%)
y2295	6810281 (13%)
y2402	N.A.
y2455	N.A.
y2551	929174 (18%)
y2739	N.A.
y2766	N.A.
y2809	N.A.
y3065	19487776 (5%)
y3066	14473042 (10%)
y3068	N.A.
y3069	1634535 (40%)
y3123	N.A.
y3124	3306757 (34%)
y3126	
y3219	
y3295	
y3555	6062711 (92%)
y3590	N.A.
y3609	N.A.
y3617	371934 (29%)
y3621	N.A.
y3657	N.A.
y3669	N.A.
y3753	N.A.
y3773	3216113 (90%)
y3859	591833 (16%)
y3916	757148 (201%)
y4101	911165 (68%)
y4127	N.A.
y4133	625270 (57%)
y4134	N.A.
y4135	8781887 (19%)
y4136	N.A.
y4137	9053945 (13%)
y4138	N.A.
y4139	N.A.
YPKMT065	
YPKMT089	
y0294	N.A.
y0609	38732927 (61%)
