Locus_tag	Spot_quantity (Vs)
y0031	+
y0036	+
y0038	
y0108	
y0118	
y0123	+
y0136	+
y0142  	+
y0146	+
y0153	+
y0184	
y0185	
y0202	+
y0209	+
y0329	
y0363	
y0378	
y0379	
y0393	
y0407	
y0410	
y0416	
y0418	
y0442	752672
y0448	
y0539	
y0555	516914
y0632	
y0633	
y0634	
y0661	
y0664	+
y0678	
y0682	
y0685	
y0695	
y0702	
y0704	
y0735	
y0795	
y0827	
y0833	+
y0835	
y0911	
y0923	
y0951	 
y0992	
y0993	
y1021	
y1024	
y1031	+
y1049	
y1050	+
y1170	
y1175	
y1176	
y1183	+
y1186	
y1203	
y1221	
y1247	
y1296	
y1314	
y1321	
y1334	
y1346	+
y1351	
y1353	+
y1355	1723772
y1356	+
y1376	
y1401	
y1412	
y1432	
y1469	+
y1491	+
y1524	
y1527	
y1576	
y1580	+
y1603	
y1673	
y1767	
y1786	
y1795	
y1852	
y1863	
y1867	+
y1877	
y1878	
y1896	
y1919	290376
y1926	
y1928	
y1962	
y1988	
y2003	
y2010	
y2037	
y2044	
y2045	
y2047	
y2104	229552
y2134	
y2135	
y2160	
y2233	412719
y2234	
y2237	
y2263	
y2270	
y2292	
y2315	+
y2364	
y2396	
y2397	
y2452	
y2552	
y2553	
y2596	
y2633	
y2644	
y2647	
y2661	
y2677	+
y2731	
y2747	
y2750	+
y2765	
y2767	+
y2814	
y2826	
y2836	
y2864	
y2882	
y2910	1049100*
y2913	
y2940	
y2980	
y3018	
y3041	
y3058	
y3074	
y3076	
y3104	
y3106	576834
y3110	+
y3235	
y3242	
y3306	
y3311	
y3341	
y3385	
y3494	
y3495	
y3560	
y3586	
y3622	+
y3625	
y3640	
y3656	
y3658	
y3659	
y3660	
y3664	
y3665	+
y3668	
y3671	+
y3674	+
y3675	895257
y3676	
y3731	
y3737	
y3760	
y3803	594348
y3864	
y3891	
y3924	
y3936	+
y3948	
y4020	+
y4043	+
y4088	+
y4117	
y4128	
y4141	
y4144	
YPKMT066	
Y1020	
y0032	
y0221	
y0325	
y0396	
y0543	489725
y0659	
y0850	+
y1324	+
y1419	483255
y1577	+
y1682	
y2167	+
y2358	368931
y2359	+
y2404	+
y2556	
y2735	+
y2759	
y2872	+
y2966	
y2983	
y3054	+
y3127	+
y3343	4246709
y3404	
y3480	
y3516	+
y3680	
y4083	+
YPKp07	+
YP_2181	
y0037	+
y0067	1370063
y0084	
y0098	3448674
y0137	2330474*
y0163	+
y0194	+
y0391	3155458
y0542	1146508
y0546	+
y0556	+
y0596	
y0606	+
y0616	
y0617	1013438
y0686	
y0696	+
y0722	
y0733	
y0766	
y0767	210834
y0768	230464
y0769	2429844
y0818	847851
y0870	
y0914	383602
y0964	796692
y0966	+
y0978	
y1043	+
y1064	1482424
y1194	
y1195	+
y1237	+
y1240	+
y1242	+
y1290	
y1295	+
y1298	
y1357	
y1362	633166
y1397	+
y1455	3889028*
y1485	4499505
y1579	
y1601	
y1611	
y1631	+
y1632	
y1633	+
y1634	424587
y1635	+
y1637	
y1677	909540
y1794	649156
y1845	722972
y1935	425340
y1936	+
y1980	
y2023	403788
y2168	2417832
y2295	478046
y2402	1378272
y2455	<50
y2551	981186
y2739	+
y2766	+
y2809	+
y3065	
y3066	1312306
y3068	
y3069	1502810
y3123	+
y3124	
y3126	16730058*
y3219	
y3295	+
y3555	+
y3590	+
y3609	
y3617	740086
y3621	486855
y3657	
y3669	+
y3753	
y3773	
y3859	
y3916	536365
y4101	
y4127	+
y4133	893312
y4134	1302741
y4135	1754242
y4136	+
y4137	1013444
y4138	56979
y4139	
YPKMT065	+
YPKMT089	437906
y0294	6361699
y0609	15854342
y0651	1738820
y0687	866728
y0694	7694099
y0807	3103439*
y0815	15054076*
y0988	906908
y1026	3302067
y1029	951554
y1239	9573468
y1363	2286958
y1620	
y2394	774175
y2399	+
y2400	154363
y2401	1603355
y2403	1003197
y3055	20476816*
y3067	3256981
y3314	7194485
y3673	874028
y3706	14430456
y3985	1025780
y3986	5335614
y4015	2005766
YPKMT067	39801910*
Y1069	5754524
y0048	+
y0161	3184161
y0223	12968590
y0244	+
y0303	
y0308	1625928
y0345	7929718
y0361	+
y0366	+
y0401	1558551
y0483	5904096
y0484	2745694
y0485	621613
y0557	+
y0638	
y0645	2362000
y0647	5741446
y0668	6730634
y0672	
y0688	+
y0689	+
y0784	2108646
y0785	584751
y0814	1702456
y0843	+
y0881	3008364
y0892	
y0895	401319
y0904	+
y0960	293820
y1315	
y1331	9948941
y0769	902875
y1417	5129577
y1487	1996982
y1489	4379392
y1507	4521157
y1777	+
y1876	657769
y1947	817413
y1990	8724638
y2067	
y2101 	4090209
y2132	
y2139	
y2165	10946136
y2175 	
y2238	+
y2244	1488951
y2262	+
y2290	+
y2524	5722432
y2751	
y2755	+
y2781	3571016
y2821	15956404
y3119	770860
y3135	7147868
y3137	1170566
y3307	4882068
y3310	2600644
y3499	5985421
y3524	+
y3529	
y3537	+
y3630	+
y3631	+
y3693	2055446
y3697	
y3804	4246945
y3858	3185888
y3913	234935
y3990	+
y4001	
