Locus_tag	Spot_volumes_means (Xm)	Spot_quantity (Vs)
y0031	10303554 (39%)	8185332
y0036	1252647 (120%)	676962
y0038	4684131 (48%)	1204014
y0108		
y0118	N.A.	+
y0123	N.A.	+
y0136	N.A.	+
y0142  	1483072 (34%)	1628374
y0146		+
y0153	806378 (58%)	1275374
y0184	N.A.	
y0185	N.A.	
y0202	1289531 (88%)	779880
y0209	463034 (49%)	+
y0329		+
y0363		
y0378		+
y0379	1396791 (19%)	+
y0393		
y0407		
y0410	N.A.	+
y0416		
y0418		
y0442	1628232 (55%)	402772
y0448	N.A.	
y0539		
y0555	563087 (41%)	614026
y0632	N.A.	
y0633	N.A.	+
y0634	N.A.	+
y0661	N.A.	
y0664	1689151 (56%)	
y0678		
y0682	277491 (34%)	380800
y0685		
y0695		
y0702		
y0704		
y0735		+
y0795		
y0827		
y0833		+
y0835		+
y0911	N.A.	+
y0923	1065165 (87%)	1199676
y0951	1359203 (119%)	2713074
y0992		
y0993		
y1021		
y1024		
y1031	3475613 (32%)	+
y1049		
y1050	N.A.	+
y1170		
y1175		883462
y1176		
y1183	N.A.	+
y1186	1817006 (29%)	1324612
y1203		
y1221	8303069 (117%)	11992910
y1247	6266506 (8%)	
y1296		+
y1314	N.A.	+
y1321		
y1334	N.A.	+
y1346		
y1351		
y1353	N.A.	+
y1355	871586 (N/A)	1095582
y1356	N.A.	+
y1376		
y1401	N.A.	+
y1412		+
y1432	5689784 (23%)	1688826
y1469	1434845 (77%)	2361816
y1491	1496283 (32%)	737770
y1524	2582165 (N/A)	+
y1527		
y1576		
y1580		+
y1603		1911046
y1673	1328583 (72%)	589086
y1767		
y1786	1066607 (26%)	685328
y1795		+
y1852		
y1863		
y1867	324659 (56%)	429960
y1877		+
y1878		
y1896	5437294 (48%)	2081218
y1919	N.A.	+
y1926	3551838 (83%)	
y1928		+
y1962	N.A.	+
y1988	N.A.	
y2003		
y2010		
y2037		+
y2044	1780695 (90%)	+
y2045		
y2047	N.A.	
y2104	936633 (23%)	532940
y2134		
y2135		+
y2160		
y2233	2112505 (18%)	1474620
y2234	1204823 (23%)	989660
y2237		
y2263	N.A.	+
y2270	N.A.	
y2292		
y2315		
y2364	2167743 (N/A)	1584958
y2396		
y2397		+
y2452		
y2552		
y2553		
y2596		+
y2633	N.A.	
y2644		
y2647	N.A.	
y2661	2247113 (80%)	
y2677	N.A.	
y2731		
y2747	N.A.	+
y2750	N.A.	+
y2765		
y2767	N.A.	
y2814		
y2826	N.A.	
y2836	995921 (N/A)	+
y2864		+
y2882		
y2910		
y2913		+
y2940	N.A.	
y2980	N.A.	
y3018		
y3041		
y3058	N.A.	
y3074	N.A.	
y3076		
y3104		+
y3106	2246432(104%)	891630
y3110		
y3235		
y3242		+
y3306		+
y3311	N.A.	
y3341		
y3385	N.A.	
y3494		2321698
y3495		
y3560	N.A.	
y3586		
y3622	2221829 (56%)	884714
y3625	N.A.	
y3640	N.A.	
y3656	N.A.	
y3658	1449737 (N/A)  F	+
y3659		+
y3660		2314352
y3664	864260 (50%)	+
y3665	1795177 (5%)	1821830
y3668	N.A.	+
y3671	213380 (86%)	234000
y3674	18206538 (43%)	12318088
y3675	7390156 (76%)	12644894
y3676	989489 (42%)	1024780
y3731		
y3737		+
y3760		
y3803	493135 (22%)	496178
y3864		
y3891		2443442
y3924		
y3936		
y3948		
y4020	1081724 (10%)	1011326
y4043	464210 (68%)	
y4088	N.A.	+
y4117		
y4128	845613 (119%)	923628
y4141		+
y4144		
YPKMT066		
Y1020		+
y0032	10214227 (32%)	4546530
y0221	N.A.	+
y0325	N.A.	+
y0396	994775 (46%)	+
y0543	647584(28%)	410094
y0659		
y0850	560490 (70%)	+
y1324	2604545 (74%)	4751030
y1419		+
y1577	N.A.	+
y1682	4667578 (128%)	3578798
y2167	N.A.	1845438
y2358	16940075 (36%)	1833178
y2359	444554 (3%)	355974
y2404	22101023 (118%)	5206338
y2556	N.A.	
y2735	33557157 (30%)	14028582
y2759	N.A.	12247900
y2872	N.A.	+
y2966	1682828 (79%)	1170670
y2983	N.A.	+
y3054	5575987 (93%)	3016504
y3127	4536122 (40%)	920068
y3343	N.A.	+
y3404	2813873 (3%)	722486
y3480	N.A.	
y3516	1341105 (83%)	1658398
y3680	N.A.	600774
y4083		
YPKp07	17710642 (75%)	3751472
YP_2181		
y0037	807131 (33%)	915178
y0067	N.A.	
y0084	1644217 (89%)	515552
y0098	N.A.	+
y0137	307383 (118%)	699780
y0163	N.A.	+
y0194		
y0391	2862945 (5%)	1165180
y0542	N.A.	+
y0546	792535 (29%)	576656
y0556	1340243 (91%)	
y0596		
y0606	7772803 (50%)	
y0616	16513203 (12%)	648554
y0617	200276 (53%)	577456
y0686	N.A.	
y0696	N.A.	+
y0722	N.A.	
y0733	1987511 (22%)	3908136
y0766	N.A.	
y0767	2950138 (27%)	1001380
y0768	N.A.	+
y0769	2580566 (74%)	756358
y0818	434096 (50%)	510180
y0870	16563105 (42%)	1137294
y0914	483996 (74%)	455832
y0964	N.A.	
y0966	N.A.	+
y0978	N.A.	
y1043	N.A.	
y1064	1765969 (6%)	842528
y1194	1691906 (12%)	+
y1195	N.A.	639866
y1237	2396010 (51%)	
y1240	2384423 (101%)	1983692
y1242	699345 (45%)	833498
y1290	1490702 (20%)	1084798
y1295	N.A.	
y1298		5034006
y1357	3284242 (17%)	
y1362	3594662 (118%)	1019360
y1397	N.A.	+
y1455	3394034 (114%)	
y1485	7182828 (30%)	9013158
y1579		506326
y1601		
y1611	N.A.	
y1631	2135580 (76%)	
y1632	4883208 (13%)	1178248
y1633	2402219 (46%)	1248846
y1634	1377694 (40%)	1082692
y1635	3139306 (20%)	+
y1637	1325729 (36%)	858752
y1677	4234078 (13%)	2605502
y1794	1368975 (77%)	929970
y1845	16426680 (34%)	12266594
y1935		
y1936	593951 (32%)	418470
y1980	1166623 (56%)	522632
y2023	6494037 (37%)	838010
y2168	3297445 (23%)	2241964
y2295	1161128 (17%)	1100852
y2402	860774 (99%)	1864280
y2455	2108996 (75%)	1715340
y2551	17829136 (42%)	9890992
y2739	1278527 (28%)	1194244
y2766	2990187 (123%)	
y2809	621980 (64%)	276894
y3065	1518575 (100%)	1153358
y3066	728738 (33%)	726530
y3068	7868831 (48%)	3379284
y3069	1755320 (68%)	4496868
y3123	N.A.	
y3124	959317 (46%)	
y3126		
y3219		
y3295		+
y3555	8316679 (85%)	
y3590	N.A.	+
y3609	18005744 (47%)	4461864
y3617	3527133 (32%)	1001380
y3621	1399267 (19%)	3519834
y3657	2539540 (15%)	
y3669	1713907 (56%)	1000232
y3753	N.A.	
y3773	2230856 (108%)	
y3859	21698737 (29%)	8273976
y3916	1662176 (59%)	1742222
y4101	4644796 (72%)	
y4127	N.A.	+
y4133	2024333 (102%)	487818
y4134	5325448 (32%)	4277554
y4135	47189619 (30%)	13304424
y4136	694701 (N/A)	590052
y4137	27804310 (16%)	13912864
y4138	3466606 (45%)	1688738
y4139	388290 (58%)	+
YPKMT065		+
YPKMT089		+
y0294	N.A.	+
y0609	10188052 (51%)	7155266
y0651	849035 (21%)	611338
y0687	N.A.	+
y0694	1344091 (50%)	945086
y0807	N.A.	+
y0815	1051025 (81%)	1199676
y0988	3872500 (60%)	4565930
y1026	1682852 (16%)	1650178
y1029	N.A.	+
y1239	1195679 (74%)	933222
y1363	N.A.	+
y1620	N.A.	
y2394	2541256 (75%)	2391462
y2399		428576
y2400		1093816
y2401		2506890
y2403	2006872 (21%)	1994002
y3055	3191870 (119%)	+
y3067	N.A.	+
y3314	3541651 (35%)	1463180
y3673	7862592 (44%)	9473220
y3706	5640396 (55%)	1990622
y3985	5563068 (20%)	1374984
y3986	27467806 (14%)	14127600
y4015	4420366 (20%)	3710016
YPKMT067		
Y1069	1143828 (15%)	3211484
y0048		+
y0161	N.A.	
y0223		8562616
y0244		
y0303	N.A.	+
y0308	N.A.	+
y0345	1666494 (34%)	1701004
y0361		1666812
y0366		
y0401	N.A.	+
y0483	2260949 (92%)	1516002
y0484	N.A.	2527920
y0485		
y0557	N.A.	+
y0638	N.A.	
y0645	7862594 (41%)	9473220
y0647	3857741 (24%)	2722978
y0668	1572496 (12%)	1782126
y0672	N.A.	
y0688	N.A.	+
y0689	1080320 (52%)	481092
y0784		
y0785	N.A.	
y0814	12629328 (48%)	2211178
y0843	N.A.	
y0881	N.A.	+
y0892		+
y0895	N.A.	+
y0904	N.A.	
