Locus_tag	Spot_volumes_means (Xm)	Spot_quantity (Vs)
y0031	N.A.	+
y0036	N.A.	
y0038	N.A.	
y0108		
y0118	N.A.	
y0123	N.A.	+
y0136	N.A.	+
y0142  	N.A.	
y0146		+
y0153	N.A.	+
y0184	N.A.	
y0185	N.A.	
y0202	N.A.	
y0209	N.A.	+
y0329		
y0363		
y0378		+
y0379	226562 (28%)	
y0393		
y0407		
y0410	N.A.	
y0416		
y0418		
y0442	N.A.	
y0448	N.A.	
y0539		
y0555	N.A.	
y0632	N.A.	
y0633	N.A.	+
y0634	N.A.	
y0661	N.A.	
y0664	N.A.	
y0678		3512070
y0682	N.A.	1674851
y0685		
y0695		
y0702		+
y0704		
y0735		+
y0795		
y0827		
y0833		+
y0835		
y0911	N.A.	
y0923	N.A.	
y0951	N.A.	+
y0992		
y0993		
y1021		
y1024		
y1031	1492988 (81%)	+
y1049		
y1050	N.A.	+
y1170		
y1175		
y1176		
y1183	N.A.	
y1186	N.A.	+
y1203		
y1221	512033 (N/A)	562359
y1247	3667857 (13%)	
y1296		
y1314	N.A.	
y1321		
y1334	N.A.	
y1346		
y1351		
y1353	N.A.	
y1355	1974082 (38%)	1739927
y1356	N.A.	
y1376		+
y1401	N.A.	
y1412		
y1432	N.A.	
y1469	N.A.	+
y1491	N.A.	+
y1524	N.A.	
y1527		
y1576		
y1580		
y1603		
y1673	N.A.	
y1767		
y1786	N.A.	
y1795		
y1852		
y1863		
y1867	N.A.	
y1877		
y1878		
y1896	N.A.	B193B
y1919	N.A.	307192
y1926	N.A.	
y1928		
y1962	N.A.	
y1988	N.A.	+
y2003		
y2010		+
y2037		
y2044	N.A.	
y2045		
y2047	N.A.	
y2104	N.A.	+
y2134		
y2135		
y2160		
y2233	N.A.	+
y2234	N.A.	
y2237		
y2263	N.A.	
y2270	N.A.	
y2292		
y2315		
y2364	N.A.	
y2396		
y2397		
y2452		
y2552		
y2553		
y2596		
y2633	N.A.	
y2644		
y2647	N.A.	
y2661	N.A.	
y2677	N.A.	+
y2731		
y2747	N.A.	+
y2750	N.A.	
y2765		+
y2767	N.A.	
y2814		+
y2826	N.A.	
y2836	N.A.	
y2864		
y2882		
y2910		9320070
y2913		
y2940	N.A.	
y2980	N.A.	
y3018		
y3041		
y3058	N.A.	
y3074	N.A.	
y3076		
y3104		+
y3106	N.A.	
y3110		
y3235		
y3242		+
y3306		
y3311	N.A.	
y3341		
y3385	N.A.	
y3494		
y3495		
y3560	N.A.	
y3586		+
y3622	N.A.	
y3625	N.A.	
y3640	N.A.	+
y3656	N.A.	
y3658	N.A.	
y3659		
y3660		
y3664	N.A.	
y3665		+
y3668	N.A.	
y3671	N.A.	
y3674	966398 (6%)	1188987
y3675	3439858 (55%)	
y3676	N.A.	
y3731		
y3737		
y3760		+
y3803	281899 (146%)	401227
y3864		
y3891		
y3924		
y3936		
y3948		
y4020	N.A.	
y4043	N.A.	
y4088	N.A.	
y4117		
y4128	N.A.	
y4141		
y4144		
YPKMT066		
Y1020		
y0032	N.A.	
y0221	N.A.	
y0325	N.A.	
y0396	N.A.	
y0543	N.A.	
y0659		
y0850	N.A.	
y1324	N.A.	+
y1419		+
y1577	N.A.	
y1682	755693 (102%)	1279335
y2167	N.A.	
y2358	4981545 (41%)	
y2359	1072831 (18%)	
y2404	1183093 (45%)	
y2556	N.A.	
y2735	12172606 (55%)	5702731
y2759	4740014 (17%)	5776593
y2872	N.A.	
y2966	679816 (15%)	705487
y2983	661979 (4%)	
y3054	N.A.	+
y3127	N.A.	209552
y3343	N.A.	
y3404	N.A.	
y3480	N.A.	
y3516	N.A.	2444894
y3680	N.A.	
y4083		+
YPKp07	N.A.	+
YP_2181		
y0037	1132777 (38%)	
y0067	2000878 (122%)	1194489
y0084	5302085 (11%)	
y0098	465219 (107%)	4142070
y0137	2631063 (34%)	29190296
y0163	7941785 (7%)	
y0194		21860578
y0391	934947 (60%)	
y0542	910462 (42%)	1593470
y0546	722234 (94%)	1877781
y0556	765042 (27%)	743070
y0596		28168394
y0606	4502915 (7%)	
y0616	10418964 (24%)	
y0617	10555448 (20%)	
y0686	2456977 (22%)	3272643
y0696	1430112 (66%)	1843281
y0722	N.A.	
y0733	1552528 (51%)	
y0766	988510 (N/A)	1104223
y0767	2594559 (161%)	5303017
y0768	6774119 (33%)	8621260
y0769	16694177 (24%)	22248224
y0818	N.A.	+
y0870	5474346 (40%)	82148928
y0914	1488040 (81%)	1335226
y0964	1203086 (51%)	844469
y0966	572986 (3%)	660399
y0978	N.A.	
y1043	6640826 (21%)	
y1064	1559829 (42%)	2557761
y1194	2557103 (101%)	+
y1195	N.A.	+
y1237	4652864 (57%)	
y1240	3077742 (7%)	9774462
y1242	N.A.	
y1290	N.A.	+
y1295	N.A.	
y1298		
y1357	4872050 (127%)	
y1362	15968995 (10%)	17577380
y1397	4034422 (31%)	6179076
y1455	12399892 (13%)	
y1485	4578101 (64%)	
y1579		
y1601		5212780
y1611	3334275 (86%)	
y1631	4786947 (12%)	
y1632	11162062 (58%)	1008084
y1633	4286154 (71%)	8023272
y1634	2902466 (21%)	1270482
y1635	6685547 (48%)	+
y1637	5173836 (21%)	
