Locus_tag	Spot_volumes_means (Xm)	Spot_quantity (Vs)
y0031	2889712 (62%)	2475352
y0036	N.A.	
y0038	N.A.	
y0108		+
y0118	1941978 (13%)	702290
y0123	1784471 (123%)	11053661
y0136	5352541 (49%)	1178778
y0142  	N.A.	
y0146		1102622
y0153	741698 (92%)	576886
y0184	861641 (26%)	256846
y0185	1072139 (10%)	187953
y0202	960879 (88%)	1950450
y0209	261741 (57%)	207808
y0329		
y0363		+
y0378		+
y0379	1991137 (39%)	1999984
y0393		+
y0407		+
y0410	323855 (61%)	3874700
y0416		1090782
y0418		+
y0442	741693 (72%)	689254
y0448	245664 (57%)	158734
y0539		535330
y0555	350325 (20%)	2313048
y0632	395721 (17%)	367916
y0633	126609 (57%)	187103
y0634	207874 (82%)	303285
y0661	211143 (27%)	175599
y0664	619186 (67%)	376966
y0678		
y0682	N.A.	+
y0685		+
y0695		+
y0702		+
y0704		+
y0735		
y0795		571295
y0827		
y0833		+
y0835		+
y0911	471315 (50%)	1039424
y0923	N.A.	
y0951	1236836 (80%)	
y0992		+
y0993		+
y1021		+
y1024		+
y1031	1483690 (31%)	635303
y1049		+
y1050	3377429 (13%)	3245426
y1170		+
y1175		7555962
y1176		+
y1183	452548 (96%)	1081108
y1186	470442 (61%)	+
y1203		+
y1221	1755016 (208%)	4760766
y1247	N.A.	
y1296		+
y1314	490539 (22%)	443737
y1321		+
y1334	921814 (16%)	1233324
y1346		+
y1351		+
y1353	164678 (34%)	224578
y1355	2556032 (41%)	3355962
y1356	562158 (N/A)	2096976
y1376		+
y1401	388282 (22%)	467295
y1412		+
y1432	689919 (75%)	
y1469	N.A.	+
y1491	2587215 (10%)	1623637
y1524	N.A.	+
y1527		+
y1576		+
y1580		+
y1603		
y1673	N.A.	
y1767		+
y1786	N.A.	+
y1795		3992364
y1852		+
y1863		+
y1867	N.A.	1077986
y1877		+
y1878		+
y1896	1320785 (77%)	+
y1919	261217 (49%)	+
y1926	198992 (73%)	547092
y1928		738252
y1962	381474 (37%)	595215
y1988	425921 (42%)	339802
