Prot_ref	Prot_id
YPA_0001	YP_649915.1
YPA_0002	YP_649916.1
YPA_0003	YP_649917.1
YPA_0004	YP_649918.1
YPA_0005	YP_649919.1
YPA_0006	YP_649920.1
YPA_0007	YP_649921.1
YPA_0008	YP_649922.1
YPA_0009	YP_649923.1
YPA_0010	YP_649924.1
YPA_0011	YP_649925.1
YPA_0012	YP_649926.1
YPA_0013	YP_649927.1
YPA_0014	YP_649928.1
YPA_0015	YP_649929.1
YPA_0016	YP_649930.1
YPA_0017	YP_649931.1
YPA_0018	YP_649932.1
YPA_0019	YP_649933.1
YPA_0020	YP_649934.1
YPA_0021	YP_649935.1
YPA_0022	YP_649936.1
YPA_0023	YP_649937.1
YPA_0024	YP_649938.1
YPA_0025	YP_649939.1
YPA_0026	YP_649940.1
YPA_0027	YP_649941.1
YPA_0028	YP_649942.1
YPA_0029	YP_649943.1
YPA_0030	YP_649944.1
YPA_0031	YP_649945.1
YPA_0032	YP_649946.1
YPA_0033	YP_649947.1
YPA_0034	YP_649948.1
YPA_0035	YP_649949.1
YPA_0036	YP_649950.1
YPA_0037	YP_649951.1
YPA_0038	YP_649952.1
YPA_0039	YP_649953.1
YPA_0040	YP_649954.1
YPA_0041	YP_649955.1
YPA_0042	YP_649956.1
YPA_0043	YP_649957.1
YPA_0044	YP_649958.1
YPA_0045	YP_649959.1
YPA_0046	YP_649960.1
YPA_0047	YP_649961.1
YPA_0048	YP_649962.1
YPA_0049	YP_649963.1
YPA_0050	YP_649964.1
YPA_0051	YP_649965.1
YPA_0052	YP_649966.1
YPA_0053	YP_649967.1
YPA_0054	YP_649968.1
YPA_0055	YP_649969.1
YPA_0056	YP_649970.1
YPA_0057	YP_649971.1
YPA_0058	YP_649972.1
YPA_0059	YP_649973.1
YPA_0060	YP_649974.1
YPA_0061	YP_649975.1
YPA_0062	YP_649976.1
YPA_0063	YP_649977.1
YPA_0064	YP_649978.1
YPA_0065	YP_649979.1
YPA_0066	YP_649980.1
