Prot_ref	Prot_id
YPO0001	NP_403667.1
YPO0002	NP_403668.1
YPO0003	NP_403669.1
YPO0004	NP_403670.1
YPO0005	NP_403671.1
YPO0006	NP_403672.1
YPO0007	NP_403673.1
YPO0008	NP_403674.1
YPO0009	NP_403675.1
YPO0010	NP_403676.1
YPO0011	NP_403677.1
YPO0012	NP_403678.1
YPO0013	NP_403679.1
YPO0013a	NP_403680.1
YPO0014	NP_403681.1
YPO0015	NP_403682.1
YPO0017	NP_403683.1
YPO0018	NP_403684.1
YPO0019	NP_403685.1
YPO0020	NP_403686.1
YPO0021	NP_403687.1
YPO0022	NP_403688.1
YPO0023	NP_403689.1
YPO0024	NP_403690.1
YPO0025	NP_403691.1
YPO0026	NP_403692.1
YPO0027	NP_403693.1
YPO0028	NP_403694.1
YPO0029	NP_403695.1
YPO0030	NP_403696.1
YPO0031	NP_403697.1
YPO0032	NP_403698.1
YPO0033	NP_403699.1
YPO0034	NP_403700.1
YPO0035	NP_403701.1
YPO0036	NP_403702.1
YPO0037	NP_403703.1
YPO0038	NP_403704.1
YPO0039	NP_403705.1
YPO0040	NP_403706.1
YPO0041	NP_403707.1
YPO0042	NP_403708.1
YPO0043	NP_403709.1
YPO0044	NP_403710.1
YPO0045	NP_403711.1
YPO0046	NP_403712.1
YPO0047	NP_403713.1
YPO0048	NP_403714.2
YPO0049	NP_403715.1
YPO0050	NP_403716.1
YPO0051	NP_403717.1
YPO0052	NP_403718.1
YPO0053	NP_403719.1
YPO0054	NP_403720.1
YPO0055	NP_403721.1
YPO0056	NP_403722.1
YPO0057	NP_403723.1
YPO0058	NP_403724.1
YPO0059	NP_403725.1
YPO0060	NP_403726.1
YPO0063	YP_002345157.1
YPO0064	NP_403728.1
YPO0065	NP_403729.1
YPO0066	NP_403730.1
YPO0067	NP_403731.1
YPO0068	NP_403732.1
YPO0069	NP_403733.1
YPO0070	NP_403734.1
YPO0071	NP_403735.1
YPO0072	NP_403736.1
YPO0073	NP_403737.1
YPO0074	NP_403738.1
YPO0075	NP_403739.1
YPO0076	NP_403740.1
YPO0077	NP_403741.1
YPO0078	NP_403742.1
YPO0079	NP_403743.1
YPO0080	NP_403744.1
YPO0081	NP_403745.1
YPO0082	NP_403746.1
YPO0083	NP_403747.1
YPO0084	NP_403748.1
YPO0085	NP_403749.1
YPO0086	NP_403750.1
YPO0087	NP_403751.1
YPO0088	NP_403752.1
YPO0091	NP_403753.1
YPO0092	NP_403754.1
YPO0093	NP_403755.1
YPO0094	NP_403756.1
YPO0096	NP_403757.1
YPO0097	NP_403758.1
YPO0099	NP_403759.1
YPO0100	NP_403760.1
YPO0101	NP_403761.1
YPO0102	NP_403762.1
YPO0103	NP_403763.1
YPO0104	NP_403764.1
YPO0105	NP_403765.1
YPO0106	NP_403766.1
YPO0107	NP_403767.1
YPO0108	NP_403768.1
YPO0110	NP_403769.1
YPO0111	NP_403770.1
YPO0112	NP_403771.1
YPO0113	NP_403772.1
YPO0114	NP_403773.1
YPO0116	NP_403774.1
YPO0117	NP_403775.1
YPO0118	NP_403776.1
YPO0119	NP_403777.1
YPO0120	NP_403778.1
YPO0121	NP_403779.1
YPO0122	NP_403780.2
YPO0123	NP_403781.1
YPO0126	NP_403782.1
YPO0127	NP_403783.1
YPO0128	NP_403784.1
YPO0129	NP_403785.1
YPO0130	NP_403786.1
YPO0131	NP_403787.1
YPO0132	NP_403788.1
YPO0133	NP_403789.1
YPO0134	NP_403790.1
YPO0135	NP_403791.1
YPO0136	NP_403792.1
YPO0137	NP_403793.1
YPO0138	NP_403794.1
YPO0139	NP_403795.1
YPO0140	NP_403796.1
YPO0141	NP_403797.1
YPO0142	NP_403798.1
YPO0143	NP_403799.1
YPO0144	NP_403800.1
YPO0145	YP_002345231.1
YPO0146	NP_403802.1
YPO0147	NP_403803.1
YPO0148	NP_403804.1
YPO0149	NP_403805.1
YPO0150	NP_403806.1
YPO0151	NP_403807.1
YPO0152	NP_403808.1
YPO0153	NP_403809.1
YPO0154	NP_403810.1
