Prot_ref	Prot_id
YPN_0001	YP_645934.1
YPN_0002	YP_645935.1
YPN_0003	YP_645936.1
YPN_0004	YP_645937.1
YPN_0005	YP_645938.1
YPN_0006	YP_645939.1
YPN_0007	YP_645940.1
YPN_0008	YP_645941.1
YPN_0009	YP_645942.1
YPN_0010	YP_645943.1
YPN_0011	YP_645944.1
YPN_0012	YP_645945.1
YPN_0013	YP_645946.1
YPN_0014	YP_645947.1
YPN_0015	YP_645948.1
YPN_0016	YP_645949.1
YPN_0017	YP_645950.1
YPN_0018	YP_645951.1
YPN_0019	YP_645952.1
YPN_0020	YP_645953.1
YPN_0021	YP_645954.1
YPN_0022	YP_645955.1
YPN_0023	YP_645956.1
YPN_0024	YP_645957.1
YPN_0025	YP_645958.1
YPN_0026	YP_645959.1
YPN_0027	YP_645960.1
YPN_0028	YP_645961.1
YPN_0029	YP_645962.1
YPN_0030	YP_645963.1
YPN_0031	YP_645964.1
YPN_0032	YP_645965.1
YPN_0033	YP_645966.1
YPN_0034	YP_645967.1
YPN_0035	YP_645968.1
YPN_0036	YP_645969.1
YPN_0037	YP_645970.1
YPN_0038	YP_645971.1
YPN_0039	YP_645972.1
YPN_0040	YP_645973.1
YPN_0041	YP_645974.1
YPN_0042	YP_645975.1
YPN_0043	YP_645976.1
YPN_0044	YP_645977.1
YPN_0045	YP_645978.1
YPN_0046	YP_645979.1
YPN_0047	YP_645980.1
YPN_0048	YP_645981.1
YPN_0049	YP_645982.1
YPN_0050	YP_645983.1
YPN_0051	YP_645984.1
YPN_0052	YP_645985.1
YPN_0053	YP_645986.1
YPN_0054	YP_645987.1
YPN_0055	YP_645988.1
YPN_0056	YP_645989.1
YPN_0057	YP_645990.1
YPN_0058	YP_645991.2
YPN_0059	YP_645992.1
YPN_0060	YP_645993.1
YPN_0061	YP_645994.1
YPN_0062	YP_645995.1
YPN_0063	YP_645996.1
YPN_0064	YP_645997.1
YPN_0065	YP_645998.1
YPN_0066	YP_645999.1
YPN_0067	YP_646000.1
YPN_0068	YP_646001.1
YPN_0069	YP_646002.1
YPN_0070	YP_646003.1
YPN_0071	YP_646004.1
YPN_0072	YP_646005.1
YPN_0073	YP_646006.1
YPN_0074	YP_646007.1
YPN_0075	YP_646008.1
YPN_0076	YP_646009.1
YPN_0077	YP_646010.1
YPN_0078	YP_646011.1
YPN_0079	YP_646012.1
YPN_0080	YP_646013.1
YPN_0081	YP_646014.1
YPN_0082	YP_646015.1
YPN_0083	YP_646016.1
YPN_0084	YP_646017.1
YPN_0085	YP_646018.1
