Prot_ref	Prot_id
YP0001	NP_991405.1
YP0002	NP_991406.1
YP0003	NP_991407.1
YP0004	NP_991408.1
YP0005	NP_991409.1
YP0006	NP_991410.1
YP0007	NP_991411.1
YP0008	NP_991412.1
YP0009	NP_991413.1
YP0010	NP_991414.1
YP0011	NP_991415.1
YP0012	NP_991416.1
YP0013	NP_991417.1
YP0014	NP_991418.1
YP0015	NP_991419.1
YP0016	NP_991420.1
YP0017	NP_991421.1
YP0018	NP_991422.1
YP0019	NP_991423.1
YP0020	NP_991424.1
YP0021	NP_991425.1
YP_0022	NP_991426.2
YP_0023	NP_991427.2
YP_0024	NP_991428.2
YP0025	NP_991429.1
YP0026	NP_991430.1
YP0027	NP_991431.1
YP0028	NP_991432.1
YP0029	NP_991433.1
YP0030	NP_991434.1
YP0031	NP_991435.1
YP0032	NP_991436.1
YP0033	NP_991437.1
YP0034	NP_991438.1
YP0035	NP_991439.1
YP0036	NP_991440.1
YP0037	NP_991441.1
YP0038	NP_991442.1
YP0039	NP_991443.1
YP0040	NP_991444.1
YP0041	NP_991445.1
YP0042	NP_991446.1
YP0043	NP_991447.1
YP0044	NP_991448.1
YP0045	NP_991449.1
YP0046	NP_991450.1
YP0047	NP_991451.1
YP0048	NP_991452.1
YP_0049	NP_991453.2
YP0050	NP_991454.1
YP0051	NP_991455.1
YP0052	NP_991456.1
YP0053	NP_991457.1
YP0054	NP_991458.1
YP0055	NP_991459.1
YP0056	NP_991460.1
YP0057	NP_991461.1
YP_0058	NP_991462.2
YP_0059	NP_991463.2
YP_0060	NP_991464.2
YP0061	NP_991465.1
YP0063	NP_991466.1
YP0064	NP_991467.1
YP0065	NP_991468.1
YP0066	NP_991469.1
YP0067	NP_991470.1
YP0068	NP_991471.1
YP0069	NP_991472.1
YP_0070	NP_991473.2
YP0071	NP_991474.1
YP0072	NP_991475.1
YP0073	NP_991476.1
YP0074	NP_991477.1
YP0075	NP_991478.1
YP0076	NP_991479.1
YP0077	NP_991480.1
YP0078	NP_991481.1
YP0079	NP_991482.1
YP0080	NP_991483.1
YP0081	NP_991484.1
YP0082	NP_991485.1
YP0083	NP_991486.1
YP0085	NP_991487.1
YP0086	NP_991488.1
YP0087	NP_991489.1
YP0088	NP_991490.1
YP0089	NP_991491.1
YP0090	NP_991492.1
YP0091	NP_991493.1
YP0092	NP_991494.1
YP_0093	NP_991495.2
YP0094	NP_991496.1
YP0095	NP_991497.1
YP0096	NP_991498.1
YP0097	NP_991499.1
YP0098	NP_991500.1
YP0099	NP_991501.1
YP0100	NP_991502.1
YP0101	NP_991503.1
YP0102	NP_991504.1
YP0103	NP_991505.1
YP0104	NP_991506.1
YP0105	NP_991507.1
YP0106	NP_991508.1
YP0107	NP_991509.1
YP0108	NP_991510.1
YP0109	NP_991511.1
YP0110	NP_991512.1
YP0111	NP_991513.1
YP0112	NP_991514.1
YP0113	NP_991515.1
YP0114	NP_991516.1
YP0115	NP_991517.1
YP0116	NP_991518.1
YP0117	NP_991519.1
YP0118	NP_991520.1
YP0119	NP_991521.1
YP0120	NP_991522.1
YP0121	NP_991523.1
YP0122	NP_991524.1
YP0123	NP_991525.1
YP_0124	NP_991526.2
YP0125	NP_991527.1
YP0127	NP_991528.1
YP0128	NP_991529.1
YP0129	NP_991530.1
YP0130	NP_991531.1
YP0131	NP_991532.1
YP0132	NP_991533.1
YP0133	NP_991534.1
YP0134	NP_991535.1
YP0135	NP_991536.1
YP0136	NP_991537.1
YP0137	NP_991538.1
YP0138	NP_991539.1
