Prot_ref	Prot_id
YPK_0001	YP_001718768.1
YPK_0002	YP_001718769.1
YPK_0003	YP_001718770.1
YPK_0004	YP_001718771.1
YPK_0005	YP_001718772.1
YPK_0006	YP_001718773.1
YPK_0007	YP_001718774.1
YPK_0008	YP_001718775.1
YPK_0009	YP_001718776.1
YPK_0010	YP_001718777.1
YPK_0011	YP_001718778.1
YPK_0012	YP_001718779.1
YPK_0013	YP_001718780.1
YPK_0014	YP_001718781.1
YPK_0015	YP_001718782.1
YPK_0016	YP_001718783.1
YPK_0017	YP_001718784.1
YPK_0018	YP_001718785.1
YPK_0019	YP_001718786.1
YPK_0020	YP_001718787.1
YPK_0021	YP_001718788.1
YPK_0022	YP_001718789.1
YPK_0023	YP_001718790.1
YPK_0024	YP_001718791.1
YPK_0025	YP_001718792.1
YPK_0026	YP_001718793.1
YPK_0027	YP_001718794.1
YPK_0028	YP_001718795.1
YPK_0029	YP_001718796.1
YPK_0030	YP_001718797.1
YPK_0031	YP_001718798.1
YPK_0032	YP_001718799.1
YPK_0033	YP_001718800.1
YPK_0034	YP_001718801.1
YPK_0035	YP_001718802.1
YPK_0036	YP_001718803.1
YPK_0037	YP_001718804.1
YPK_0038	YP_001718805.1
YPK_0039	YP_001718806.1
YPK_0040	YP_001718807.1
YPK_0041	YP_001718808.1
YPK_0042	YP_001718809.1
YPK_0043	YP_001718810.1
YPK_0044	YP_001718811.1
YPK_0045	YP_001718812.1
YPK_0046	YP_001718813.1
YPK_0047	YP_001718814.1
YPK_0048	YP_001718815.1
YPK_0049	YP_001718816.1
YPK_0050	YP_001718817.1
YPK_0051	YP_001718818.1
YPK_0052	YP_001718819.1
YPK_0053	YP_001718820.1
YPK_0054	YP_001718821.1
YPK_0055	YP_001718822.1
YPK_0056	YP_001718823.1
YPK_0057	YP_001718824.1
YPK_0058	YP_001718825.1
YPK_0059	YP_001718826.1
YPK_0060	YP_001718827.1
YPK_0061	YP_001718828.1
YPK_0062	YP_001718829.1
YPK_0063	YP_001718830.1
YPK_0064	YP_001718831.1
YPK_0065	YP_001718832.1
YPK_0066	YP_001718833.1
YPK_0067	YP_001718834.1
YPK_0068	YP_001718835.1
YPK_0069	YP_001718836.1
YPK_0070	YP_001718837.1
YPK_0071	YP_001718838.1
YPK_0072	YP_001718839.1
YPK_0073	YP_001718840.1
YPK_0074	YP_001718841.1
YPK_0075	YP_001718842.1
YPK_0076	YP_001718843.1
YPK_0077	YP_001718844.1
YPK_0078	YP_001718845.1
YPK_0079	YP_001718846.1
YPK_0080	YP_001718847.1
YPK_0081	YP_001718848.1
YPK_0082	YP_001718849.1
YPK_0083	YP_001718850.1
YPK_0085	YP_001718851.1
YPK_0086	YP_001718852.1
YPK_0087	YP_001718853.1
YPK_0088	YP_001718854.1
YPK_0089	YP_001718855.1
YPK_0090	YP_001718856.1
YPK_0091	YP_001718857.1
YPK_0092	YP_001718858.1
YPK_0093	YP_001718859.1
YPK_0094	YP_001718860.2
YPK_0095	YP_001718861.1
YPK_0096	YP_001718862.1
YPK_0097	YP_001718863.1
YPK_0098	YP_001718864.1
YPK_0099	YP_001718865.1
YPK_0100	YP_001718866.1
YPK_0101	YP_001718867.1
YPK_0102	YP_001718868.1
YPK_0103	YP_001718869.1
YPK_0104	YP_001718870.1
YPK_0105	YP_001718871.1
YPK_0106	YP_001718872.1
YPK_0107	YP_001718873.1
YPK_0108	YP_001718874.1
YPK_0109	YP_001718875.1
YPK_0110	YP_001718876.1
YPK_0111	YP_001718877.1
YPK_0112	YP_001718878.1
YPK_0113	YP_001718879.1
YPK_0114	YP_001718880.1
YPK_0115	YP_001718881.1
YPK_0116	YP_001718882.1
YPK_0117	YP_001718883.1
YPK_0118	YP_001718884.1
YPK_0119	YP_001718885.1
YPK_0120	YP_001718886.1
YPK_0121	YP_001718887.1
YPK_0122	YP_001718888.1
YPK_0123	YP_001718889.1
YPK_0124	YP_001718890.1
YPK_0125	YP_001718891.1
YPK_0126	YP_001718892.1
YPK_0127	YP_001718893.1
YPK_0128	YP_001718894.1
YPK_0129	YP_001718895.1
YPK_0130	YP_001718896.1
YPK_0131	YP_001718897.1
YPK_0132	YP_001718898.1
YPK_0133	YP_001718899.1
YPK_0134	YP_001718900.1
YPK_0135	YP_001718901.1
YPK_0136	YP_001718902.1
YPK_0137	YP_001718903.1
YPK_0138	YP_001718904.1
YPK_0139	YP_001718905.1
YPK_0140	YP_001718906.1
YPK_0141	YP_001718907.1
YPK_0142	YP_001718908.1
YPK_0143	YP_001718909.1
YPK_0144	YP_001718910.1
