Data Name	Localization	Type	Date	Nb proteins	Growth	TimePoint	ÎçC	Mutant	Media	MediaGrowthProperties	Reference	Strain used	Strain array	Comment
0h_Extracellular_2011_EGDe	Membrane proteome	Proteome	11/05/11	868	Exp phase		26		isolation from cell lysate fraction + lysozyme/EDTA spheroplasting THEN  sodium bromide 2.5M THEN alkaline sodium carbonate THEN 2M thiourea + 7M urea + 1†% amidosulfobetaine-14.	isolation from cell lysate, lysozyme/EDTA, sodium bromide, alkaline sodium carbonate, thiourea + urea + amidosulfobetaine-14.	Pieper R, Huang ST, Clark DJ, Robinson JM, Alami H, Parmar PP, Suh MJ, Kuntumalla S, Bunai CL, Perry RD, Fleischmann RD, Peterson SN; Integral and peripheral association of proteins and protein complexes with Yersinia pestis inner and outer membranes., Proteome Sci, 2009 Feb 19, 7, 5, PubMed: 19228400	Y. Pestis KIM	Y. Pestis KIM	Insoluble proteins fraction
0h_Extracellular_2011_F2365	Membrane	Proteome	11/05/11	341	Exp phase		26		isolation from cell lysate fraction + lysozyme/EDTA spheroplasting THEN  sodium bromide 2.5M THEN alkaline sodium carbonate THEN 2M thiourea + 7M urea + 1†% amidosulfobetaine-14.	isolation from cell lysate, lysozyme/EDTA, sodium bromide, alkaline sodium carbonate, thiourea + urea + amidosulfobetaine-14.	Pieper R, Huang ST, Clark DJ, Robinson JM, Alami H, Parmar PP, Suh MJ, Kuntumalla S, Bunai CL, Perry RD, Fleischmann RD, Peterson SN; Integral and peripheral association of proteins and protein complexes with Yersinia pestis inner and outer membranes., Proteome Sci, 2009 Feb 19, 7, 5, PubMed: 19228400	Y. Pestis KIM	Y. Pestis KIM	Insoluble proteins fraction
0h_Extracellular_2011_HCC23	Membrane	Proteome	11/05/11	617	Exp phase		26		isolation from cell lysate fraction + lysozyme/EDTA spheroplasting THEN  sodium bromide 2.5M THEN alkaline sodium carbonate THEN 2M thiourea + 7M urea + 1†% amidosulfobetaine-14.	isolation from cell lysate, lysozyme/EDTA, sodium bromide, alkaline sodium carbonate, thiourea + urea + amidosulfobetaine-14.	Pieper R, Huang ST, Clark DJ, Robinson JM, Alami H, Parmar PP, Suh MJ, Kuntumalla S, Bunai CL, Perry RD, Fleischmann RD, Peterson SN; Integral and peripheral association of proteins and protein complexes with Yersinia pestis inner and outer membranes., Proteome Sci, 2009 Feb 19, 7, 5, PubMed: 19228400	Y. Pestis KIM	Y. Pestis KIM	Insoluble proteins fraction
37C_2009_F2380	Periplasmic proteome	Proteome	10/11/09	221	Exp phase				lysozyme/EDTA lysis	lysozyme/EDTA	Pieper R, Huang ST, Clark DJ, Robinson JM, Alami H, Parmar PP, Suh MJ, Kuntumalla S, Bunai CL, Perry RD, Fleischmann RD, Peterson SN; Integral and peripheral association of proteins and protein complexes with Yersinia pestis inner and outer membranes., Proteome Sci, 2009 Feb 19, 7, 5, PubMed: 19228400	Y. Pestis KIM	Y. Pestis KIM	Soluble protein fraction
37C_2010_EGDe	Periplasmic proteome	Proteome	23/06/10	89	Exp phase				lysozyme/EDTA lysis	lysozyme/EDTA	Pieper R, Huang ST, Clark DJ, Robinson JM, Alami H, Parmar PP, Suh MJ, Kuntumalla S, Bunai CL, Perry RD, Fleischmann RD, Peterson SN; Integral and peripheral association of proteins and protein complexes with Yersinia pestis inner and outer membranes., Proteome Sci, 2009 Feb 19, 7, 5, PubMed: 19228400	Y. Pestis KIM	Y. Pestis KIM	Soluble protein fraction
37C_Cold_Osmotic_2014_EGDe	Membrane & Cytoplasm	Proteome	24/02/14	30	Exp phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
37C_Salt_Cold_Osmotic_2014_EGDe	Membrane & Cytoplasm	Proteome	24/02/14	43	Exp phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
3h_Macrophages_2011_EGDe	Membrane & Cytoplasm	Proteome	11/05/11	9	Exp phase	3h	37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
3h_Macrophages_2011_F2365	Membrane & Cytoplasm	Proteome	11/05/11	37	Exp phase	3h	37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
3h_Macrophages_2011_HCC23	Membrane & Cytoplasm	Proteome	11/05/11	57	Exp phase	3h	37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
