Prot_ref	Prot_id
YPTS_0001	YP_001870457.1
YPTS_0002	YP_001870458.1
YPTS_0003	YP_001870459.1
YPTS_0004	YP_001870460.1
YPTS_0005	YP_001870461.1
YPTS_0006	YP_001870462.1
YPTS_0007	YP_001870463.1
YPTS_0008	YP_001870464.1
YPTS_0009	YP_001870465.1
YPTS_0010	YP_001870466.1
YPTS_0011	YP_001870467.1
YPTS_0012	YP_001870468.1
YPTS_0013	YP_001870469.1
YPTS_0014	YP_001870470.1
YPTS_0015	YP_001870471.1
YPTS_0016	YP_001870472.1
YPTS_0017	YP_001870473.1
YPTS_0018	YP_001870474.1
YPTS_0019	YP_001870475.1
YPTS_0020	YP_001870476.1
YPTS_0021	YP_001870477.1
YPTS_0022	YP_001870478.1
YPTS_0023	YP_001870479.1
YPTS_0024	YP_001870480.1
YPTS_0025	YP_001870481.1
YPTS_0026	YP_001870482.1
YPTS_0027	YP_001870483.1
YPTS_0028	YP_001870484.1
YPTS_0029	YP_001870485.1
YPTS_0030	YP_001870486.1
YPTS_0031	YP_001870487.1
YPTS_0032	YP_001870488.1
YPTS_0033	YP_001870489.1
YPTS_0034	YP_001870490.1
YPTS_0035	YP_001870491.1
YPTS_0036	YP_001870492.1
YPTS_0037	YP_001870493.1
YPTS_0038	YP_001870494.1
YPTS_0039	YP_001870495.1
YPTS_0040	YP_001870496.1
YPTS_0041	YP_001870497.1
YPTS_0042	YP_001870498.1
YPTS_0043	YP_001870499.1
YPTS_0044	YP_001870500.1
YPTS_0045	YP_001870501.1
YPTS_0046	YP_001870502.1
YPTS_0047	YP_001870503.2
YPTS_0048	YP_001870504.1
YPTS_0049	YP_001870505.1
YPTS_0050	YP_001870506.1
YPTS_0051	YP_001870507.1
YPTS_0052	YP_001870508.1
YPTS_0053	YP_001870509.1
YPTS_0054	YP_001870510.1
YPTS_0055	YP_001870511.1
YPTS_0056	YP_001870512.1
YPTS_0057	YP_001870513.1
YPTS_0058	YP_001870514.1
YPTS_0059	YP_001870515.1
YPTS_0060	YP_001870516.1
YPTS_0061	YP_001870517.1
YPTS_0062	YP_001870518.1
YPTS_0063	YP_001870519.1
YPTS_0064	YP_001870520.1
YPTS_0065	YP_001870521.1
YPTS_0066	YP_001870522.1
YPTS_0067	YP_001870523.1
YPTS_0068	YP_001870524.1
YPTS_0069	YP_001870525.1
YPTS_0070	YP_001870526.1
YPTS_0071	YP_001870527.1
YPTS_0072	YP_001870528.1
YPTS_0073	YP_001870529.1
YPTS_0074	YP_001870530.1
YPTS_0075	YP_001870531.1
YPTS_0076	YP_001870532.1
YPTS_0077	YP_001870533.1
YPTS_0078	YP_001870534.1
YPTS_0079	YP_001870535.1
YPTS_0080	YP_001870536.1
YPTS_0081	YP_001870537.1
YPTS_0082	YP_001870538.1
YPTS_0083	YP_001870539.1
YPTS_0084	YP_001870540.1
YPTS_0085	YP_001870541.1
YPTS_0086	YP_001870542.1
YPTS_0087	YP_001870543.1
YPTS_0088	YP_001870544.1
YPTS_0089	YP_001870545.1
YPTS_0090	YP_001870546.1
YPTS_0091	YP_001870547.1
YPTS_0092	YP_001870548.1
YPTS_0093	YP_001870549.1
YPTS_0094	YP_001870550.1
YPTS_0095	YP_001870551.1
YPTS_0096	YP_001870552.1
YPTS_0097	YP_001870553.1
YPTS_0098	YP_001870554.1
YPTS_0099	YP_001870555.1
YPTS_0100	YP_001870556.1
YPTS_0101	YP_001870557.1
YPTS_0102	YP_001870558.1
YPTS_0103	YP_001870559.1
YPTS_0104	YP_001870560.1
YPTS_0105	YP_001870561.1
YPTS_0106	YP_001870562.1
YPTS_0107	YP_001870563.1
YPTS_0108	YP_001870564.1
YPTS_0109	YP_001870565.1
YPTS_0110	YP_001870566.1
YPTS_0111	YP_001870567.1
YPTS_0112	YP_001870568.1
YPTS_0113	YP_001870569.1
YPTS_0114	YP_001870570.1
YPTS_0115	YP_001870571.1
YPTS_0116	YP_001870572.1
YPTS_0117	YP_001870573.1
YPTS_0118	YP_001870574.1
YPTS_0119	YP_001870575.1
YPTS_0120	YP_001870576.1
YPTS_0121	YP_001870577.1
YPTS_0122	YP_001870578.1
YPTS_0123	YP_001870579.1
YPTS_0124	YP_001870580.1
YPTS_0125	YP_001870581.1
YPTS_0126	YP_001870582.1
YPTS_0127	YP_001870583.1
YPTS_0128	YP_001870584.1
YPTS_0129	YP_001870585.1
YPTS_0130	YP_001870586.1
YPTS_0131	YP_001870587.1
YPTS_0132	YP_001870588.1
YPTS_0133	YP_001870589.1
YPTS_0136	YP_001870590.1
YPTS_0137	YP_001870591.1
YPTS_0138	YP_001870592.1
YPTS_0139	YP_001870593.1
YPTS_0140	YP_001870594.1
YPTS_0141	YP_001870595.1
YPTS_0142	YP_001870596.1
YPTS_0143	YP_001870597.1
YPTS_0144	YP_001870598.1
YPTS_0145	YP_001870599.1
YPTS_0146	YP_001870600.1
YPTS_0147	YP_001870601.1
YPTS_0148	YP_001870602.1
YPTS_0149	YP_001870603.1
YPTS_0150	YP_001870604.1
YPTS_0151	YP_001870605.1
YPTS_0152	YP_001870606.1
YPTS_0153	YP_001870607.1
YPTS_0154	YP_001870608.1
YPTS_0155	YP_001870609.1
YPTS_0156	YP_001870610.1
YPTS_0157	YP_001870611.1
YPTS_0158	YP_001870612.1
YPTS_0159	YP_001870613.1
YPTS_0160	YP_001870614.1
YPTS_0161	YP_001870615.1
YPTS_0162	YP_001870616.1
YPTS_0163	YP_001870617.1
YPTS_0164	YP_001870618.1
YPTS_0165	YP_001870619.1
YPTS_0166	YP_001870620.1
YPTS_0167	YP_001870621.1
YPTS_0168	YP_001870622.1
YPTS_0169	YP_001870623.1
YPTS_0170	YP_001870624.1
YPTS_0171	YP_001870625.1
YPTS_0172	YP_001870626.1
YPTS_0173	YP_001870627.1
YPTS_0174	YP_001870628.1
YPTS_0175	YP_001870629.1
YPTS_0176	YP_001870630.1
YPTS_0177	YP_001870631.1
YPTS_0178	YP_001870632.1
YPTS_0179	YP_001870633.1
YPTS_0180	YP_001870634.1
YPTS_0181	YP_001870635.1
YPTS_0182	YP_001870636.1
YPTS_0183	YP_001870637.1
YPTS_0184	YP_001870638.1
YPTS_0185	YP_001870639.1
YPTS_0186	YP_001870640.1
YPTS_0187	YP_001870641.1
YPTS_0188	YP_001870642.1
YPTS_0189	YP_001870643.1
YPTS_0190	YP_001870644.1
YPTS_0191	YP_001870645.1
YPTS_0192	YP_001870646.1
YPTS_0193	YP_001870647.1
YPTS_0194	YP_001870648.1
YPTS_0195	YP_001870649.1
YPTS_0196	YP_001870650.1
YPTS_0197	YP_001870651.1
YPTS_0198	YP_001870652.1
YPTS_0199	YP_001870653.1
YPTS_0200	YP_001870654.1
YPTS_0201	YP_001870655.1
YPTS_0202	YP_001870656.1
YPTS_0203	YP_001870657.1
YPTS_0204	YP_001870658.1
YPTS_0205	YP_001870659.1
YPTS_0206	YP_001870660.1
YPTS_0207	YP_001870661.1
YPTS_0208	YP_001870662.1
YPTS_0209	YP_001870663.1
YPTS_0210	YP_001870664.1
YPTS_0211	YP_001870665.1
YPTS_0212	YP_001870666.1
YPTS_0213	YP_001870667.1
