Locus_tag	ORF_start	ORF_stop	Gene_start	Gene_end	Peptide_count	Name_protein
YPO0001	271	711	271	711	1	flavodoxin
YPO0003	1417	2427	1435	2427	35	asparagine synthetase AsnA
YPCD1.05c	3014	3439	3014	3406	7	secretion chaperone
YPCD1.06	3594	4259	3600	4259	9	putative outer membrane virulence protein
YPO0005	3996	5576	3996	5549	3	regulatory ATPase RavA
YPCD1.08c	4399	4707	4399	4698	10	hypothetical protein YPCD1.08c
YPCD1.09c	4691	4966	4691	4933	7	hypothetical protein YPCD1.09c
YPCD1.12c	6195	7178	6195	7157	8	plasmid-partitioning protein
YPCD1.13c	7157	8416	7157	8323	15	plasmid-partitioning protein SopA
YPO0007	7893	8315	7896	8315	4	D-ribose pyranase
YPO0008	8339	9292	8366	9292	5	ribokinase
YPO0010	11016	11741	11016	11705	4	putative GntR-famly transcriptional regulator
YPCD1.19c	11562	12158	11562	12110	3	Yop targeting protein
YPCD1.20	12601	13578	12610	13578	1	Yop targeted effector
YPCD1.26c	16336	17679	16336	17565	5	secreted effector protein
YPO0012	19172	19732	19172	19702	3	molybdopterin-guanine dinucleotide biosynthesis protein B
YPCD1.28c	19294	20226	19294	20214	24	secreted effector protein
YPO0013	19702	20349	19702	20343	2	molybdopterin-guanine dinucleotide biosynthesis protein A
YPCD1.29c	20233	21453	20233	21438	4	secreted effector protein
YPO0013a	20395	20712	20443	20712	11	hypothetical protein YPO0013a
YPO0014	20648	21778	20792	21778	11	serine/threonine protein kinase
YPCD1.30c	21416	21934	21416	21922	3	secretion chaperone
YPO0015	21785	22429	21806	22429	19	periplasmic protein disulfide isomerase I
YPCD1.31c	21935	22936	21935	22915	22	secreted effector protein
YPO0017	22912	25719	22921	25719	20	DNA polymerase I
YPCD1.32c	22917	23207	22917	23204	3	low calcium response protein G
YPCD1.34c	23683	25806	23683	25797	3	low calcium response protein D
YPCD1.36c	26125	26568	26125	26493	1	hypothetical protein YPCD1.36c
YPCD1.37c	26490	26861	26490	26861	2	hypothetical protein YPCD1.37c
YPO0019	26838	27503	26838	27488	9	ribosome biogenesis GTP-binding protein YsxC
YPCD1.38c	26848	27174	26848	27126	4	Yop secretion and targeting control protein
YPCD1.39c	27107	28051	27107	27988	10	secretion control protein
YPCD1.40	28165	29505	28186	29505	2	type III secretion system ATPase
YPO0020	28200	28799	28233	28799	2	hypothetical protein YPO0020
YPO0021	28958	30355	28982	30355	7	coproporphyrinogen III oxidase
YPCD1.42	29897	31333	29966	31333	4	type III secretion apparatus component
YPO0022	30409	32040	30409	31821	10	nitrogen regulation protein NR(I)
YPCD1.43	31327	32253	31330	32253	2	type III secretion system protein
YPO0023	31829	32908	31829	32878	5	nitrogen regulation protein NR(II)
YPO0024	33131	34639	33131	34540	58	glutamine synthetase
YPMT1.31	33691	33978	33700	33978	4	hypothetical protein YPMT1.31
YPMT1.32	34014	34460	34038	34460	2	putative lipoprotein
YPMT1.33	34351	34992	34465	34992	1	putative transcriptional regulator
YPO0026	35090	36925	35102	36925	56	putative GTPase
YPMT1.34	35269	35964	35314	35964	9	hypothetical protein YPMT1.34
YPCD1.48	35557	35988	35593	35988	2	needle complex outer membrane lipoprotein precursor
YPMT1.34A	36013	36276	36049	36276	5	hypothetical protein YPMT1.34A
YPCD1.49	36097	36927	36112	36927	1	transcriptional regulator
YPO0027	37220	37837	37247	37837	11	phosphatase
YPCD1.51	37267	37743	37330	37743	11	type III secretion apparatus component
YPCD1.52	37668	39572	37749	39572	2	outer membrane secretin precursor
YPO0028	37838	38818	37934	38818	1	ribonuclease BN
YPMT1.38c	38751	39332	38751	39320	1	hypothetical protein YPMT1.38c
YPCD1.53	39557	40828	39569	40828	2	virulence protein
YPCD1.54	40819	41025	40825	41025	2	type III secretion apparatus component
YPCD1.55	41026	41289	41026	41289	4	needle complex major subunit
YPCD1.56	41261	41638	41291	41638	1	type III secretion apparatus component
YPO0032	41392	42330	41407	42330	9	hypothetical protein YPO0032
YPCD1.57	41593	42132	41635	42132	1	secreted protein
YPCD1.58	42133	42480	42133	42480	1	type III secretion apparatus component
YPO0033	42465	44192	42465	44174	14	possible exported protein
YPCD1.59	42481	43221	42487	43221	3	needle complex inner membrane lipoprotein
YPMT1.42	43704	44738	43716	44738	42	putative periplasmic protein
YPCD1.61	43712	44461	43796	44461	1	type III secretion system protein
YPCD1.62	44650	45033	44686	45033	4	LCR negative regulator
YPO0035	45903	47159	45945	47159	1	sodium/glutamate symport carrier protein
YPMT1.44	46472	47551	46487	47551	2	putative replication protein A
YPCD1.67c	47122	48606	47122	48528	33	putative secreted protein-tyrosine phosphatase
YPO0036	47525	49606	47525	49606	4	ATP-dependent DNA helicase RecG
YPO0037	49607	50314	49607	50299	2	tRNA guanosine-2'-O-methyltransferase
YPMT1.48c	49621	49992	49621	49992	1	hypothetical protein YPMT1.48c
