yourlist:M20180720A7434721E10EE6586998A056CCD0537E950530A	isomap:M20180720A7434721E10EE6586998A056CCD0537E950530A	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
y0031		O68693	YSCA_YERPE	reviewed	Yop proteins translocation protein A	yscA YPCD1.50 y5028 y0031 YP_pCD33	Yersinia pestis	NP_395184.1;NP_857732.1;NP_857927.1;WP_002229797.1;
y0031		Q8ZAS8	MALK_YERPE	reviewed	Maltose/maltodextrin import ATP-binding protein MalK (EC 3.6.3.19)	malK YPO3712 y0031 YP_3074	Yersinia pestis	WP_002212091.1;YP_002348593.1;
y0036		A0A0H2W8A5	A0A0H2W8A5_YERPE	unreviewed	Hemolysin co-regulated protein (Hemolysin-coregulated protein (Uncharacterized))	hcp7 y0036 YP_3069	Yersinia pestis	WP_002212097.1;
y0036		P69982	YSCS_YERPE	reviewed	Yop proteins translocation protein S	yscS YPCD1.45 y5033 y0036 YP_pCD38	Yersinia pestis	NP_395179.1;NP_857737.1;NP_857932.1;WP_002212945.1;
y0038		P42713	YSCQ_YERPE	reviewed	Yop proteins translocation protein Q	yscQ YPCD1.43 y5035 y0038 YP_pCD40	Yersinia pestis	NP_395177.1;NP_857739.1;NP_857934.1;WP_002212948.1;
y0038		Q0WAV1	Q0WAV1_YERPE	unreviewed	Uncharacterized protein	y0038	Yersinia pestis	WP_002212099.1;
y0108		Q0WKQ9	Q0WKQ9_YERPE	unreviewed	Uncharacterized protein	y0108	Yersinia pestis	WP_002209007.1;
y0118		Q8D1R7	Q8D1R7_YERPE	unreviewed	Penicillin-binding protein activator LpoA (PBP activator LpoA)	lppC lpoA y0118 YP_3802	Yersinia pestis	
y0123		Q8D1R6	Q8D1R6_YERPE	unreviewed	Conserved putative exported protein	y0123	Yersinia pestis	
y0136		Q0WB86	Q0WB86_YERPE	unreviewed	Cytochrome D ubiquinol oxidase subunit III (Putative membrane protein)	y0136 YP_3820 C6P89_17710	Yersinia pestis	WP_002210130.1;
y0142		Q0WB80	Q0WB80_YERPE	unreviewed	Anti-sigma B factor antagonist (Putative anti-sigma B factor antagonist)	y0142 YP_3826 C6P89_07320	Yersinia pestis	WP_002210125.1;
