Locus_tag	ORF_start	ORF_stop	Gene_start	Gene_end	Peptide_count	Name_protein
YPTS_0001	1	1389	37	1389	9	chromosomal replication initiation protein
YPTS_0002	1370	2494	1394	2494	10	DNA polymerase III subunit beta
YPTS_0004	3733	6186	3772	6186	45	DNA gyrase subunit B
YPTS_0005	6315	7211	6402	7211	2	sugar phosphatase
YPTS_4218	7772	8155	7808	8155	1	protein-tyrosine phosphatase YopH
YPTS_0014	13793	14353	13793	14323	1	molybdopterin-guanine dinucleotide biosynthesis protein B
YPTS_0016	15016	15333	15064	15333	9	hypothetical protein YPTS_0016
YPTS_0017	15370	16410	15424	16410	7	serine/threonine protein kinase
YPTS_0018	16417	17061	16438	17061	19	periplasmic protein disulfide isomerase I
YPTS_0019	17543	20350	17552	20350	21	DNA polymerase I
YPTS_0020	20758	21423	20758	21408	8	ribosome biogenesis GTP-binding protein YsxC
YPTS_0021	22120	22719	22153	22719	1	hypothetical protein YPTS_0021
YPTS_0022	22882	24279	22906	24279	8	coproporphyrinogen III oxidase
YPTS_4238	23493	24803	23493	24791	26	YadA domain-containing protein
YPTS_0023	24333	25964	24333	25745	17	nitrogen regulation protein NR(I)
YPTS_0024	25753	26832	25753	26802	7	nitrogen regulation protein NR(II)
YPTS_0025	27055	28563	27055	28464	73	glutamine synthetase
YPTS_0026	29015	30850	29027	30850	41	GTP-binding protein TypA
YPTS_4246	31105	31542	31105	31530	1	TIR chaperone family protein
YPTS_0027	31145	31762	31172	31762	8	phosphatase
YPTS_0028	31763	32743	31859	32743	1	ribonuclease BN
YPTS_0029	32744	33187	32750	33187	1	D-tyrosyl-tRNA(Tyr) deacylase
YPTS_0030	33358	34296	33373	34296	4	thioesterase domain-containing protein
YPTS_0031	34431	36158	34431	36140	11	AsmA family protein
YPTS_4254	35767	36042	35767	36009	1	CopG/Arc/MetJ family addiction module antidote protein
YPTS_0033	37868	39124	37910	39124	1	sodium/glutamate symporter
YPTS_0034	39490	41571	39490	41571	7	ATP-dependent DNA helicase RecG
YPTS_0035	41572	42279	41572	42231	1	tRNA guanosine-2'-O-methyltransferase
YPTS_0036	42270	44393	42270	44378	7	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase
YPTS_0037	44398	44727	44398	44673	9	DNA-directed RNA polymerase subunit omega
YPTS_0038	44728	45360	44728	45351	4	guanylate kinase
YPTS_0042	48613	49491	48613	49476	10	hypothetical protein YPTS_0042
YPTS_0043	49582	50319	49603	50319	7	ribonuclease PH
YPTS_0044	50435	51133	50486	51133	14	orotate phosphoribosyltransferase
YPTS_0045	51268	51960	51268	51864	5	nucleoid occlusion protein
YPTS_0046	51986	52462	51986	52444	4	deoxyuridine 5'-triphosphate nucleotidohydrolase
YPTS_4273	52228	53160	52228	53148	2	YopD family protein
YPTS_0047	52422	53786	52422	53636	6	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase
YPTS_4275	54350	54868	54350	54856	1	type III secretion low calcium response chaperone LcrH/SycD
YPTS_0049	54743	55000	54764	55000	6	50S ribosomal protein L28
YPTS_4276	54869	55870	54869	55849	1	low calcium response V antigen
YPTS_0050	55009	55179	55012	55179	10	50S ribosomal protein L33
YPTS_0052	56077	56607	56077	56556	4	phosphopantetheine adenylyltransferase
YPTS_0054	57336	58766	57336	58655	4	3-deoxy-D-manno-octulosonic-acid transferase
YPTS_0055	59033	60043	59033	59998	5	ADP-heptose:LPS heptosyl transferase I
YPTS_0056	59998	61092	59998	61062	3	ADP-heptose:LPS heptosyltransferase II
YPTS_0057	61093	62073	61093	62025	23	ADP-L-glycero-D-mannoheptose-6-epimerase
YPTS_0058	62196	63482	62271	63482	34	2-amino-3-ketobutyrate coenzyme A ligase
YPTS_0059	63483	64517	63492	64517	9	L-threonine 3-dehydrogenase
YPTS_0060	64655	65713	64655	65665	3	protein of unknown function DUF610 YibQ
YPTS_0061	65689	67068	65689	67059	5	hypothetical protein YPTS_0061
YPTS_0062	67069	68664	67069	68616	9	phosphoglyceromutase
YPTS_0063	68993	69448	69014	69448	6	rhodanese domain-containing protein
YPTS_0064	69558	69815	69567	69815	4	glutaredoxin 3
YPTS_0065	69885	70379	69903	70379	10	preprotein translocase subunit SecB
YPTS_0066	70361	71398	70379	71398	8	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
YPTS_0067	71640	72485	71661	72485	4	serine acetyltransferase
YPTS_0068	72608	73270	72608	73096	1	RNA methyltransferase
YPTS_0070	74417	75832	74417	75793	1	two-component sensor protein
YPTS_0071	75790	76518	75790	76488	7	DNA-binding transcriptional regulator CpxR
YPTS_0072	76653	77150	76662	77150	10	periplasmic stress adaptor protein CpxP
YPTS_0077	80418	81452	80469	81452	22	6-phosphofructokinase
YPTS_0078	81595	82662	81673	82662	1	sulfate transporter subunit
YPTS_0084	86817	88118	86940	88118	1	LysR family transcriptional regulator
YPTS_0085	88349	89146	88349	89116	18	triosephosphate isomerase
YPTS_0086	89245	89883	89245	89880	2	hypothetical protein YPTS_0086
YPTS_0088	90803	91567	90803	91549	4	ferredoxin-NADP reductase
YPTS_0089	91704	92831	91704	92714	14	fructose 1,6-bisphosphatase II
YPTS_0090	92967	94550	92967	94490	18	glycerol kinase
YPTS_0092	96147	96398	96159	96398	8	hypothetical protein YPTS_0092
YPTS_0095	100334	100597	100358	100597	1	hypothetical protein YPTS_0095
YPTS_0096	101218	101811	101227	101811	5	hypothetical protein YPTS_0096
YPTS_0097	101928	102497	101928	102413	6	ribonuclease activity regulator protein RraA
YPTS_0099	103707	105044	103707	105038	31	ATP-dependent protease ATP-binding subunit HslU
YPTS_0100	105109	105705	105109	105633	7	ATP-dependent protease peptidase subunit
YPTS_0101	105733	106620	105733	106479	2	cell division protein FtsN
YPTS_0102	106644	107765	106644	107672	7	DNA-binding transcriptional regulator CytR
YPTS_0105	110362	110691	110476	110691	3	50S ribosomal protein L31
YPTS_0106	111233	111700	111233	111688	2	YiaAB two helix domain-containing protein
YPTS_0107	112037	112417	112037	112354	2	transcriptional repressor protein MetJ
YPTS_0108	112651	113892	112651	113892	1	cystathionine gamma-synthase
YPTS_0109	113856	116330	113895	116330	5	bifunctional aspartate kinase II/homoserine dehydrogenase II
YPTS_0113	118308	121004	118308	120944	40	phosphoenolpyruvate carboxylase
YPTS_0114	121318	122514	121318	122481	13	acetylornithine deacetylase
YPTS_0115	122723	123736	122732	123736	9	N-acetyl-gamma-glutamyl-phosphate reductase
YPTS_0117	123907	124692	123916	124692	6	acetylglutamate kinase
YPTS_0118	124847	126232	124859	126232	10	argininosuccinate lyase
YPTS_0124	134530	136077	134530	135993	1	dihydrolipoamide dehydrogenase
YPTS_0126	136965	137882	136965	137882	13	DNA-binding transcriptional regulator OxyR
YPTS_0127	137865	139292	137865	139265	10	soluble pyridine nucleotide transhydrogenase
YPTS_0129	139456	140118	139483	140118	2	DNA-binding transcriptional repressor FabR
YPTS_0131	140672	141790	140672	141775	3	tRNA (uracil-5-)-methyltransferase
YPTS_0132	142090	144129	142237	144129	8	vitamin B12/cobalamin outer membrane transporter
YPTS_0133	143969	144937	144074	144937	4	glutamate racemase
YPTS_0136	151787	152758	151802	152758	6	periplasmic binding protein/LacI transcriptional regulator
YPTS_0141	157260	157682	157344	157682	14	hypothetical protein YPTS_0141
