yourlist:M20180720A7434721E10EE6586998A056CCD0537E950197S	isomap:M20180720A7434721E10EE6586998A056CCD0537E950197S	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
YPO0001		Q7CLF0	Q7CLF0_YERPE	unreviewed	Putative flavoprotein	YPO0001	Yersinia pestis	WP_002212258.1;YP_002345097.1;
YPO0003		Q8ZJT3	ASNA_YERPE	reviewed	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	asnA YPO0003 y0003 YP_0003	Yersinia pestis	WP_002212256.1;YP_002345099.1;
YPCD1.05c		P31491	YERA_YERPE	reviewed	YopE regulator	yerA YPCD1.05c y5069 y0078 YP_pCD82	Yersinia pestis	NP_395142.1;NP_857763.1;NP_857968.1;WP_002213403.1;
YPCD1.06		P31493	YOPE_YERPE	reviewed	Outer membrane virulence protein YopE	yopE yop25 YPCD1.06 y5068 y0077 YP_pCD81	Yersinia pestis	NP_395143.1;NP_857762.1;NP_857967.1;WP_002229754.1;
YPO0005		Q8ZJT1	RAVA_YERPE	reviewed	ATPase RavA (EC 3.6.3.-) (Regulatory ATPase variant A)	ravA YPO0005 y0005 YP_0005	Yersinia pestis	WP_002212254.1;YP_002345101.1;
YPCD1.08c		Q7ARJ8	Q7ARJ8_YERPE	unreviewed	Toxin	Y0075 YPCD1.08c	Yersinia pestis	NP_395145.1;NP_857965.1;WP_002213360.1;
YPCD1.09c		Q9ZGW3	PARD_YERPE	reviewed	Antitoxin ParD	parD YPCD1.09c y5065 y0074 YP_pCD78	Yersinia pestis	NP_395146.2;NP_857964.3;WP_002224342.1;WP_002229757.1;
YPCD1.12c		O68706	O68706_YERPE	unreviewed	Plasmid partitioning control protein (Putative plasmid partitioning control protein)	sopB YPCD1.12c	Yersinia pestis	NP_395148.1;NP_857963.1;WP_002404758.1;
YPCD1.13c		Q9RI24	Q9RI24_YERPE	unreviewed	Chromosome partitioning protein ParA (Putative plasmid partitioning transcription repressor) (SopAB transcription repressor)	sopA YPCD1.13c	Yersinia pestis	NP_395149.1;NP_857962.1;WP_002220902.1;
YPO0007		Q7CLE5	RBSD_YERPE	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD YPO0007 y0007 YP_0007	Yersinia pestis	WP_002212252.1;YP_002345103.1;
YPO0008		Q7CLE4	Q7CLE4_YERPE	unreviewed	Ribokinase (RK) (EC 2.7.1.15)	rbsK YPO0008	Yersinia pestis	WP_002212251.1;YP_002345104.1;
YPO0010		Q7CLE2	Q7CLE2_YERPE	unreviewed	Putative GntR-famly transcriptional regulator	YPO0010	Yersinia pestis	WP_002215905.1;YP_002345106.1;
YPCD1.19c		O68704	O68704_YERPE	unreviewed	Putative virulence determinant protein (Type III secretion negative modulator of injection) (Yop targeting protein) (YopK (YopQ) homolog)	yopK yopQ YPCD1.19c	Yersinia pestis	NP_395154.1;NP_857759.1;NP_857959.1;WP_002213007.1;
YPCD1.20		O68703	YOPT_YERPE	reviewed	Cysteine protease YopT (EC 3.4.22.-)	yopT YPCD1.20 y5059 y0065 YP_pCD67	Yersinia pestis	NP_395155.1;NP_857758.1;NP_857958.1;WP_002213006.1;
YPCD1.26c		P17778	YOPM_YERPE	reviewed	Outer membrane protein YopM	yopM yop48 YPCD1.26c y5054 y0059 YP_pCD60	Yersinia pestis	NP_395161.1;NP_857756.1;NP_857953.1;WP_002229779.1;
YPO0012		Q0WKT0	Q0WKT0_YERPE	unreviewed	Probable molybdopterin-guanine dinucleotide biosynthesis protein B	mobB YPO0012	Yersinia pestis	WP_002217538.1;YP_002345108.1;
YPCD1.28c		O68699	O68699_YERPE	unreviewed	Putative Yop negative regulation/targeting component (Type III secretion host injection and negative regulator protein) (Yop targeting negative regulator) (YopD homolog)	yopD YPCD1.28c	Yersinia pestis	NP_395162.1;NP_857754.1;NP_857949.1;WP_002212987.1;
