yourlist:M20180720A7434721E10EE6586998A056CCD0537E950220G	isomap:M20180720A7434721E10EE6586998A056CCD0537E950220G	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
YPTS_0020		B2JYK5	ENGB_YERPB	reviewed	Probable GTP-binding protein EngB	engB YPTS_0020	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002213160.1;
YPTS_0021		B2JYK6	YIHI_YERPB	reviewed	Der GTPase-activating protein YihI	yihI YPTS_0021	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002213158.1;
YPTS_0028		B2JYL3	Y028_YERPB	reviewed	UPF0761 membrane protein YPTS_0028	YPTS_0028	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413399.1;
YPTS_0029		B2JYL4	DTD_YERPB	reviewed	D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (Gly-tRNA(Ala) deacylase) (EC 3.1.1.-)	dtd YPTS_0029	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209009.1;
YPTS_0037		B2JYM2	RPOZ_YERPB	reviewed	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ YPTS_0037	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_004392061.1;
YPTS_0043		B2JYM8	RNPH_YERPB	reviewed	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	rph YPTS_0043	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208997.1;
YPTS_0044		B2JYM9	PYRE_YERPB	reviewed	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE YPTS_0044	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208996.1;
YPTS_0045		B2JYN0	SLMA_YERPB	reviewed	Nucleoid occlusion factor SlmA	slmA YPTS_0045	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208995.1;
YPTS_0049		B2JYN4	RL28_YERPB	reviewed	50S ribosomal protein L28	rpmB YPTS_0049	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208991.1;
YPTS_0050		B2JYN5	RL33_YERPB	reviewed	50S ribosomal protein L33	rpmG YPTS_0050	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208990.1;
YPTS_0052		B2JYN7	COAD_YERPB	reviewed	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	coaD YPTS_0052	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012104267.1;
YPTS_0057		B2JYP2	HLDD_YERPB	reviewed	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)	hldD YPTS_0057	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208983.1;
YPTS_0059		B2JYP4	TDH_YERPB	reviewed	L-threonine 3-dehydrogenase (TDH) (EC 1.1.1.103)	tdh YPTS_0059	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191451.1;
YPTS_0065		B2JYQ0	SECB_YERPB	reviewed	Protein-export protein SecB	secB YPTS_0065	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208976.1;
YPTS_0066		B2JYQ1	GPDA_YERPB	reviewed	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	gpsA YPTS_0066	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208975.1;
YPTS_0077		B2JZA3	PFKA_YERPB	reviewed	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	pfkA YPTS_0077	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191458.1;
YPTS_0085		B2JZB1	TPIS_YERPB	reviewed	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA YPTS_0085	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208959.1;
YPTS_0092		B2JZB8	ZAPB_YERPB	reviewed	Cell division protein ZapB	zapB YPTS_0092	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208953.1;
YPTS_0097		B2JZC3	RRAA_YERPB	reviewed	Regulator of ribonuclease activity A	rraA YPTS_0097	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208945.1;
YPTS_0099		B2JZC5	HSLU_YERPB	reviewed	ATP-dependent protease ATPase subunit HslU (Unfoldase HslU)	hslU YPTS_0099	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208943.1;
YPTS_0100		B2JZC6	HSLV_YERPB	reviewed	ATP-dependent protease subunit HslV (EC 3.4.25.2)	hslV YPTS_0100	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208942.1;
YPTS_0105		B2JZD1	RL31_YERPB	reviewed	50S ribosomal protein L31	rpmE YPTS_0105	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002216737.1;
YPTS_0107		B2JZD3	METJ_YERPB	reviewed	Met repressor (Met regulon regulatory protein MetJ)	metJ YPTS_0107	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_004392248.1;
YPTS_0113		B2JZD9	CAPP_YERPB	reviewed	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppc YPTS_0113	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191467.1;
YPTS_0117		B2JZE3	ARGB_YERPB	reviewed	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)	argB YPTS_0117	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	
YPTS_0118		B2JZE4	ARLY_YERPB	reviewed	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	argH YPTS_0118	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191469.1;
YPTS_0127		B2JZF3	STHA_YERPB	reviewed	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	sthA udhA YPTS_0127	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209477.1;
YPTS_0129		B2JZF5	FABR_YERPB	reviewed	HTH-type transcriptional repressor FabR	fabR YPTS_0129	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	
YPTS_0131		B2JZF7	TRMA_YERPB	reviewed	tRNA/tmRNA (uracil-C(5))-methyltransferase (EC 2.1.1.-) (EC 2.1.1.35) (tRNA (uracil(54)-C(5))-methyltransferase) (tRNA(m5U54)-methyltransferase) (RUMT) (tmRNA (uracil(341)-C(5))-methyltransferase)	trmA YPTS_0131	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209474.1;
YPTS_0133		B2JZF9	MURI_YERPB	reviewed	Glutamate racemase (EC 5.1.1.3)	murI YPTS_0133	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413410.1;
YPTS_0146		B2JZH0	ILVD_YERPB	reviewed	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	ilvD YPTS_0146	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212014.1;
