Prot_ref	Prot_id
YPDSF_0001	YP_001161400.1
YPDSF_0002	YP_001161401.1
YPDSF_0003	YP_001161402.1
YPDSF_0004	YP_001161403.1
YPDSF_0005	YP_001161404.1
YPDSF_0006	YP_001161405.1
YPDSF_0007	YP_001161406.1
YPDSF_0008	YP_001161407.1
YPDSF_0009	YP_001161408.1
YPDSF_0010	YP_001161409.1
YPDSF_0011	YP_001161410.1
YPDSF_0012	YP_001161411.1
YPDSF_0013	YP_001161412.1
YPDSF_0014	YP_001161413.1
YPDSF_0015	YP_001161414.1
YPDSF_0016	YP_001161415.1
YPDSF_0017	YP_001161416.1
YPDSF_0018	YP_001161417.1
YPDSF_0019	YP_001161418.1
YPDSF_0020	YP_001161419.1
YPDSF_0021	YP_001161420.1
YPDSF_0022	YP_001161421.1
YPDSF_0023	YP_001161422.1
YPDSF_0024	YP_001161423.1
YPDSF_0025	YP_001161424.1
YPDSF_0026	YP_001161425.1
YPDSF_0027	YP_001161426.1
YPDSF_0028	YP_001161427.1
YPDSF_0029	YP_001161428.1
YPDSF_0030	YP_001161429.1
YPDSF_0031	YP_001161430.1
YPDSF_0032	YP_001161431.1
YPDSF_0033	YP_001161432.1
YPDSF_0034	YP_001161433.1
YPDSF_0035	YP_001161434.1
YPDSF_0036	YP_001161435.1
YPDSF_0037	YP_001161436.1
YPDSF_0038	YP_001161437.1
YPDSF_0039	YP_001161438.1
YPDSF_0040	YP_001161439.1
YPDSF_0042	YP_001161440.1
YPDSF_0043	YP_001161441.1
YPDSF_0044	YP_001161442.1
YPDSF_0045	YP_001161443.1
YPDSF_0046	YP_001161444.1
YPDSF_0047	YP_001161445.1
YPDSF_0048	YP_001161446.1
YPDSF_0049	YP_001161447.1
YPDSF_0050	YP_001161448.1
YPDSF_0051	YP_001161449.1
YPDSF_0052	YP_001161450.1
YPDSF_0053	YP_001161451.1
YPDSF_0054	YP_001161452.1
YPDSF_0055	YP_001161453.1
YPDSF_0056	YP_001161454.1
YPDSF_0057	YP_001161455.1
YPDSF_0058	YP_001161456.1
YPDSF_0059	YP_001161457.1
YPDSF_0060	YP_001161458.1
YPDSF_0061	YP_001161459.1
YPDSF_0062	YP_001161460.1
YPDSF_0063	YP_001161461.1
YPDSF_0064	YP_001161462.1
YPDSF_0065	YP_001161463.1
YPDSF_0066	YP_001161464.1
YPDSF_0067	YP_001161465.1
YPDSF_0068	YP_001161466.1
YPDSF_0069	YP_001161467.1
YPDSF_0070	YP_001161468.1
YPDSF_0071	YP_001161469.1
YPDSF_0072	YP_001161470.1
YPDSF_0073	YP_001161471.1
YPDSF_0074	YP_001161472.1
YPDSF_0075	YP_001161473.1
YPDSF_0076	YP_001161474.1
YPDSF_0077	YP_001161475.1
YPDSF_0078	YP_001161476.1
YPDSF_0079	YP_001161477.1
YPDSF_0080	YP_001161478.1
YPDSF_0081	YP_001161479.1
YPDSF_0082	YP_001161480.1
YPDSF_0083	YP_001161481.2
YPDSF_0084	YP_001161482.1
YPDSF_0085	YP_001161483.1
YPDSF_0086	YP_001161484.1
YPDSF_0087	YP_001161485.1
YPDSF_0088	YP_001161486.1
YPDSF_0089	YP_001161487.1
YPDSF_0090	YP_001161488.1
YPDSF_0091	YP_001161489.1
YPDSF_0092	YP_001161490.1
YPDSF_0095	YP_001161491.1
YPDSF_0096	YP_001161492.1
YPDSF_0097	YP_001161493.1
YPDSF_0098	YP_001161494.1
YPDSF_0099	YP_001161495.1
YPDSF_0100	YP_001161496.1
YPDSF_0101	YP_001161497.1
YPDSF_0102	YP_001161498.1
YPDSF_0103	YP_001161499.1
YPDSF_0104	YP_001161500.1
YPDSF_0105	YP_001161501.1
YPDSF_0106	YP_001161502.1
