yourlist:M20180720A7434721E10EE6586998A056CCD0537E9501E8Y	isomap:M20180720A7434721E10EE6586998A056CCD0537E9501E8Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
YPDSF_0001		A4TGL5	DNAA_YERPP	reviewed	Chromosomal replication initiator protein DnaA	dnaA YPDSF_0001	Yersinia pestis (strain Pestoides F)	WP_002220732.1;
YPDSF_0012		A4TGM6	IBPA_YERPP	reviewed	Small heat shock protein IbpA (16 kDa heat shock protein A)	ibpA YPDSF_0012	Yersinia pestis (strain Pestoides F)	WP_002209636.1;
YPDSF_0013		A4TGM7	IBPB_YERPP	reviewed	Small heat shock protein IbpB (16 kDa heat shock protein B)	ibpB YPDSF_0013	Yersinia pestis (strain Pestoides F)	WP_002209635.1;
YPDSF_0017		A4TGN1	GHRB_YERPP	reviewed	Glyoxylate/hydroxypyruvate reductase B (EC 1.1.1.79) (EC 1.1.1.81)	ghrB YPDSF_0017	Yersinia pestis (strain Pestoides F)	WP_002209630.1;
YPDSF_0022		A4TGN6	SYGA_YERPP	reviewed	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)	glyQ YPDSF_0022	Yersinia pestis (strain Pestoides F)	WP_002209624.1;
YPDSF_0023		A4TGN7	SYGB_YERPP	reviewed	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	glyS YPDSF_0023	Yersinia pestis (strain Pestoides F)	WP_002209623.1;
YPDSF_0026		A4TGP0	MTLD_YERPP	reviewed	Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	mtlD YPDSF_0026	Yersinia pestis (strain Pestoides F)	WP_002209620.1;
YPDSF_3986		A4TSQ1	LCRV_YERPP	reviewed	Virulence-associated V antigen (Low calcium response locus protein V)	lcrV icrV YPDSF_3986	Yersinia pestis (strain Pestoides F)	WP_011171995.1;
YPDSF_0033		A4TGP7	FDHD_YERPP	reviewed	Sulfur carrier protein FdhD	fdhD YPDSF_0033	Yersinia pestis (strain Pestoides F)	WP_002209612.1;
YPDSF_0038		A4TGQ2	FDHE_YERPP	reviewed	Protein FdhE homolog	fdhE YPDSF_0038	Yersinia pestis (strain Pestoides F)	WP_002209609.1;
YPDSF_0039		A4TGQ3	SELA_YERPP	reviewed	L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase)	selA YPDSF_0039	Yersinia pestis (strain Pestoides F)	WP_002209608.1;
YPDSF_0050		A4TGR3	GLPE_YERPP	reviewed	Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1)	glpE YPDSF_0050	Yersinia pestis (strain Pestoides F)	WP_002218928.1;
YPDSF_0051		A4TGR4	MALT_YERPP	reviewed	HTH-type transcriptional regulator MalT (ATP-dependent transcriptional activator MalT)	malT YPDSF_0051	Yersinia pestis (strain Pestoides F)	WP_002208926.1;
YPDSF_0054		A4TGR7	NFUA_YERPP	reviewed	Fe/S biogenesis protein NfuA	nfuA YPDSF_0054	Yersinia pestis (strain Pestoides F)	WP_002208924.1;
YPDSF_0058		A4TGS1	FEOC_YERPP	reviewed	Probable [Fe-S]-dependent transcriptional repressor	feoC YPDSF_0058	Yersinia pestis (strain Pestoides F)	WP_002208920.1;
YPDSF_0065		A4TGS8	PCKA_YERPP	reviewed	Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49)	pckA YPDSF_0065	Yersinia pestis (strain Pestoides F)	WP_002208912.1;
YPDSF_0066		A4TGS9	HSLO_YERPP	reviewed	33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33)	hslO YPDSF_0066	Yersinia pestis (strain Pestoides F)	WP_002208911.1;
YPDSF_0078		A4TGU1	AROK_YERPP	reviewed	Shikimate kinase 1 (SK 1) (EC 2.7.1.71)	aroK YPDSF_0078	Yersinia pestis (strain Pestoides F)	WP_002208899.1;
YPDSF_0079		A4TGU2	AROB_YERPP	reviewed	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB YPDSF_0079	Yersinia pestis (strain Pestoides F)	WP_002208898.1;
YPDSF_0085		A4TGU8	CYSG1_YERPP	reviewed	Siroheme synthase 1 [Includes: Uroporphyrinogen-III C-methyltransferase 1 (Urogen III methylase 1) (EC 2.1.1.107) (SUMT 1) (Uroporphyrinogen III methylase 1) (UROM 1); Precorrin-2 dehydrogenase 1 (EC 1.3.1.76); Sirohydrochlorin ferrochelatase 1 (EC 4.99.1.4)]	cysG1 YPDSF_0085	Yersinia pestis (strain Pestoides F)	WP_011906132.1;
YPDSF_0104		A4TGW5	Y104_YERPP	reviewed	UPF0270 protein YPDSF_0104	YPDSF_0104	Yersinia pestis (strain Pestoides F)	WP_002212301.1;
YPDSF_0119		A4TGX8	SLYX_YERPP	reviewed	Protein SlyX	slyX YPDSF_0119	Yersinia pestis (strain Pestoides F)	WP_002212317.1;
YPDSF_0125		A4TGY4	RS12_YERPP	reviewed	30S ribosomal protein S12	rpsL YPDSF_0125	Yersinia pestis (strain Pestoides F)	WP_011906134.1;
YPDSF_0126		A4TGY5	RS7_YERPP	reviewed	30S ribosomal protein S7	rpsG YPDSF_0126	Yersinia pestis (strain Pestoides F)	WP_002212324.1;
YPDSF_0127		A4TGY6	EFG_YERPP	reviewed	Elongation factor G (EF-G)	fusA YPDSF_0127	Yersinia pestis (strain Pestoides F)	WP_002212325.1;
YPDSF_0128		A4TGY7	EFTU1_YERPP	reviewed	Elongation factor Tu 1 (EF-Tu 1)	tuf1 YPDSF_0128	Yersinia pestis (strain Pestoides F)	WP_002212326.1;
YPDSF_0132		A4TGZ1	RS10_YERPP	reviewed	30S ribosomal protein S10	rpsJ YPDSF_0132	Yersinia pestis (strain Pestoides F)	WP_001181005.1;
