locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
3575235	YP_001161400.1	145597325	57132	34	1422	+	YPDSF_0001	dnaA	chromosomal replication initiation protein (RefSeq)	COG593	L	ATPase involved in DNA replication initiation	TIGR00362 chromosomal replication initiator protein DnaA [dnaA]	DNA metabolism:DNA replication, recombination, and repair	GO:0006270,GO:0006275,GO:0003688,GO:0017111,GO:0005524		
3575236	YP_001161401.1	145597326	57132	1427	2527	+	YPDSF_0002	YPDSF_0002	DNA polymerase III subunit beta (RefSeq)	COG592	L	DNA polymerase sliding clamp subunit (PCNA homolog)	TIGR00663 DNA polymerase III, beta subunit [dnaN]	DNA metabolism:DNA replication, recombination, and repair	GO:0006260,GO:0003677,GO:0003893,GO:0008408,GO:0016449,GO:0019984,GO:0003889,GO:0003894,GO:0015999,GO:0016450,GO:0003890,GO:0003895,GO:0016000,GO:0016451,GO:0003891,GO:0016448,GO:0016452	2.7.7.7	DNA-directed DNA polymerase.
3575237	YP_001161402.1	145597327	57132	2502	3779	+	YPDSF_0003	recF	recombination protein F (RefSeq)	COG1195	L	Recombinational DNA repair ATPase (RecF pathway)	TIGR00611 DNA replication and repair protein RecF [recF]	DNA metabolism:DNA replication, recombination, and repair	GO:0006281,GO:0005694,GO:0003697,GO:0005524		
3575238	YP_001161403.1	145597328	57132	3805	6219	+	YPDSF_0004	gyrB	DNA gyrase subunit B (RefSeq)	COG187	L	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit	TIGR01059 DNA gyrase, B subunit [gyrB]	DNA metabolism:DNA replication, recombination, and repair	GO:0006304,GO:0006265,GO:0005694,GO:0003918,GO:0005524	5.99.1.3	DNA topoisomerase (ATP-hydrolyzing).
3575239	YP_001161404.1	145597329	57132	6435	7244	+	YPDSF_0005	YPDSF_0005	predicted hydrolase (RefSeq)	COG561	R	Predicted hydrolases of the HAD superfamily	TIGR00099 Cof-like hydrolase,TIGR01484 HAD hydrolase, family IIB	Unknown function:Enzymes of unknown specificity	GO:0006810,GO:0008152,GO:0016020,GO:0005524,GO:0016787,GO:0015662		
3575240	YP_001161405.1	145597330	57132	8423	7638	-	YPDSF_0006	YPDSF_0006	transposase for insertion sequence IS1661 (RefSeq)	COG2801	L	Transposase and inactivated derivatives			GO:0015074,GO:0003677		
3575241	YP_001161406.1	145597331	57132	10152	9199	-	YPDSF_0007	YPDSF_0007	ornithine cyclodeaminase (RefSeq)	COG2423	E	Predicted ornithine cyclodeaminase, mu-crystallin homolog			GO:0008473	4.3.1.12	Ornithine cyclodeaminase.
3575242	YP_001161407.1	145597332	57132	11108	10146	-	YPDSF_0008	YPDSF_0008	hypothetical protein (RefSeq)	COG1171	E	Threonine dehydratase			GO:0006520,GO:0004794,GO:0030170	4.3.1.19	Threonine ammonia-lyase.
3575243	YP_001161408.1	145597333	57132	11316	11627	+	YPDSF_0009	YPDSF_0009	hypothetical protein (RefSeq)								
3575244	YP_001161409.1	145597334	57132	11617	11931	+	YPDSF_0010	YPDSF_0010	hypothetical protein (RefSeq)								
