Locus_tag	ORF_start	ORF_stop	Gene_start	Gene_end	Peptide_count	Name_protein
YPDSF_0001	1	1422	34	1422	12	chromosomal replication initiation protein
YPDSF_0002	1403	2527	1427	2527	13	DNA polymerase III subunit beta
YPDSF_0004	3766	6219	3805	6219	52	DNA gyrase subunit B
YPDSF_3944	5201	7402	5204	7402	22	targeted effector protein kinase
YPDSF_0005	6348	7244	6435	7244	4	sugar phosphatase
YPDSF_4034	6536	11185	6536	11167	2	phage tail protein
YPDSF_3945	7798	8664	7798	8664	9	targeted effector protein
YPDSF_0008	10146	11189	10146	11108	1	hypothetical protein YPDSF_0008
YPDSF_3949	10269	11753	10347	11753	22	protein-tyrosine phosphatase Yop effector
YPDSF_0011	11971	12324	11971	12309	1	hypothetical protein YPDSF_0011
YPDSF_0012	12665	13090	12677	13090	12	heat shock protein IbpA
YPDSF_0013	13326	13835	13371	13835	10	heat shock chaperone IbpB
YPDSF_3957	15802	16185	15802	16149	4	type III secretion regulatory protein
YPDSF_0015	15979	17349	15979	17349	1	valine--pyruvate transaminase
YPDSF_3958	16374	17123	16374	17006	1	type III secretion system protein
YPDSF_3960	17614	18354	17614	18348	3	type III secretion lipoprotein
YPDSF_0016	18557	20701	18557	20620	17	periplasmic alpha-amylase precursor
YPDSF_3963	19197	19574	19197	19544	2	type III secretion protein
YPDSF_3964	19546	19809	19546	19809	4	type III secretion protein
YPDSF_3965	19810	20016	19810	20010	1	type III secretion protein
YPDSF_0017	20909	21940	20909	21889	5	D-isomer specific 2-hydroxyacid dehydrogenase
YPDSF_3967	21263	23167	21263	23086	4	type III secretion protein
YPDSF_3968	23092	23568	23092	23505	8	hypothetical protein YPDSF_3968
YPDSF_0019	23183	23851	23183	23842	6	putative outer membrane lipoprotein
YPDSF_3969	23908	24738	23908	24723	2	thermoregulatory protein
YPDSF_4051	25012	26619	25012	26601	1	hypothetical protein YPDSF_4051
YPDSF_0022	25525	26466	25552	26466	7	glycyl-tRNA synthetase subunit alpha
YPDSF_0023	26467	28545	26476	28545	36	glycyl-tRNA synthetase subunit beta
YPDSF_3974	28581	29507	28581	29504	3	type III secretion system protein
YPDSF_0024	29012	29737	29018	29737	25	hypothetical protein YPDSF_0024
YPDSF_3975	29501	30937	29501	30868	5	type III secretion protein
YPDSF_0025	30378	32318	30387	32318	6	PTS system, mannitol-specific IIABC component
YPDSF_3977	31329	32669	31329	32648	6	type III secretion system ATPase
YPDSF_0026	32347	33618	32455	33618	12	mannitol-1-phosphate 5-dehydrogenase
YPDSF_3978	32783	33727	32846	33727	10	membrane-bound Yop targeting protein
YPDSF_3979	33660	33986	33708	33986	5	Yop secretion and targeting protein
YPDSF_4061	33758	34045	33767	34045	2	hypothetical protein YPDSF_4061
YPDSF_3980	33973	34344	33973	34344	3	type III secretion protein
YPDSF_4062	34081	34527	34105	34527	2	lipoprotein
YPDSF_3981	34266	34709	34341	34709	1	type III secretion protein
YPDSF_4063	34418	35059	34532	35059	1	transcriptional regulator
YPDSF_0028	34553	34984	34628	34984	5	hypothetical protein YPDSF_0028
YPDSF_3983	35028	37151	35037	37151	1	membrane-bound Yop protein
YPDSF_0029	35153	35653	35153	35629	3	hypothetical protein YPDSF_0029
