locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
143502	NP_403667.1	16120354	108	711	271	-	YPO0001	YPO0001	putative flavoprotein (NCBI ptt file)	COG716	C	Flavodoxins			GO:0006118,GO:0005506,GO:0009055,GO:0010181		
143503	NP_403668.1	16120355	108	1265	804	-	YPO0002	asnC	regulatory protein (NCBI ptt file)	COG1522	K	Transcriptional regulators			GO:0006355,GO:0005622,GO:0003700,GO:0043565		
143504	NP_403669.1	16120356	108	1435	2427	+	YPO0003	asnA	aspartate-ammonia ligase (NCBI ptt file)	COG2502	E	Asparagine synthetase A	TIGR00669 aspartate--ammonia ligase [asnA]	Amino acid biosynthesis:Aspartate family	GO:0006418,GO:0006529,GO:0005737,GO:0004071,GO:0004812,GO:0005524	6.3.1.1	Aspartate--ammonia ligase.
143505	NP_403670.1	16120357	108	3992	2526	-	YPO0004	YPO0004	conserved hypothetical protein (NCBI ptt file)	COG2425	R	Uncharacterized protein containing a von Willebrand factor type A (vWA) domain					
143506	NP_403671.1	16120358	108	5549	3996	-	YPO0005	YPO0005	conserved hypothetical protein (NCBI ptt file)	COG714	R	MoxR-like ATPases			GO:0005524,GO:0016887	3.6.3.-	
143507	NP_403672.1	16120359	108	5823	7691	+	YPO0006	kup	potassium transport protein (NCBI ptt file)	COG3158	P	K+ transporter	TIGR00794 potassium uptake protein [kup]	Transport and binding proteins:Cations and iron carrying compounds	GO:0006813,GO:0016020,GO:0015079		
143508	NP_403673.1	16120360	108	7896	8315	+	YPO0007	YPO0007	ribose permease (NCBI ptt file)	COG1869	G	ABC-type ribose transport system, auxiliary component			GO:0008643	5.-.-.-	
143509	NP_403674.1	16120361	108	8366	9292	+	YPO0008	rbsK	ribokinase (NCBI ptt file)	COG524	G	Sugar kinases, ribokinase family	TIGR02152 ribokinase [rbsK]	Energy metabolism:Sugars	GO:0006014,GO:0004747	2.7.1.15	Ribokinase.
143510	NP_403675.1	16120362	108	10936	9512	-	YPO0009	YPO0009	putative membrane transport protein (NCBI ptt file)				TIGR00711 drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family	Transport and binding proteins:Other	GO:0015904,GO:0046677,GO:0016021,GO:0015520		
143511	NP_403676.1	16120363	108	11705	11016	-	YPO0010	YPO0010	putative GntR-famly transcriptional regulator (NCBI ptt file)	COG2186	K	Transcriptional regulators			GO:0019217,GO:0006355,GO:0005622,GO:0000062,GO:0003700		
