Protein_ref	Protein_id
y0001	NP_667346.1
y0002	NP_667347.1
y0003	NP_667348.1
y0004	NP_667349.1
y0005	NP_667350.1
y0006	NP_667351.1
y0007	NP_667352.1
y0008	NP_667353.1
y0009	NP_667354.1
y0010	NP_667355.1
y0011	NP_667356.1
y0013	NP_667358.1
y0014	NP_667359.1
y0015	NP_667360.1
y0016	NP_667361.1
y0018	NP_667362.1
y0017	NP_667363.1
y0019	NP_667364.1
y0020	NP_667365.1
y0021	NP_667366.1
y0023	NP_667367.1
y0024	NP_667368.1
y0025	NP_667369.1
y0026	NP_667370.1
y0027	NP_667371.1
y0028	NP_667372.1
y0030	NP_667373.1
y0029	NP_667374.1
y0031	NP_667375.1
y0032	NP_667376.2
y0033	NP_667377.1
y0034	NP_667378.1
y0035	NP_667379.1
y0036	NP_667380.1
y0037	NP_667381.1
y0038	NP_667382.1
y0039	NP_667383.1
y0040	NP_667384.1
y0041	NP_667385.1
y0042	NP_667386.1
y0043	NP_667387.1
y0044	NP_667388.1
y0045	NP_667389.1
y0046	NP_667390.1
y0047	NP_667391.1
y0048	NP_667392.2
y0049	NP_667393.1
y0050	NP_667394.1
y0051	NP_667395.1
y0052	NP_667396.1
y0053	NP_667397.1
y0054	NP_667398.1
y0055	NP_667399.1
y0056	NP_667400.1
y0057	NP_667401.1
y0058	NP_667402.1
y0059	NP_667403.1
y0060	NP_667404.1
y0061	NP_667405.1
y0062	NP_667406.1
y0063	NP_667407.1
y0064	NP_667408.1
y0065	NP_667409.1
y0066	NP_667410.1
y0067	NP_667411.1
y0069	NP_667412.1
y0068	NP_667413.1
y0070	NP_667414.1
y0071	NP_667415.1
y0072	NP_667416.2
y0073	NP_667417.1
y0074	NP_667418.1
y0075	NP_667419.1
y0076	NP_667420.1
y0077	NP_667421.1
y0078	NP_667422.1
y0080	NP_667423.1
y0081	NP_667424.2
y0083	NP_667425.2
y0082	NP_667426.1
y0084	NP_667427.2
y0085	NP_667428.1
y0086	NP_667429.1
y0087	NP_667430.1
y0088	NP_667431.1
y0090	NP_667432.1
y0089	NP_667433.1
y0091	NP_667434.1
y0092	NP_667435.1
y0093	NP_667436.2
y0094	NP_667437.1
y0095	NP_667438.1
y0096	NP_667439.1
y0097	NP_667440.1
y0098	NP_667441.1
y0099	NP_667442.1
y0100	NP_667443.1
y0101	NP_667444.1
y0102	NP_667445.1
y0103	NP_667446.1
y0104	NP_667447.1
y0105	NP_667448.1
y0106	NP_667449.1
y0107	NP_667450.1
y0108	NP_667451.1
y0109	NP_667452.1
y0110	NP_667453.1
y0111	NP_667454.1
y0112	NP_667455.1
y0113	NP_667456.1
y0114	NP_667457.1
y0115	NP_667458.1
y0117	NP_667460.1
y0118	NP_667461.1
y0119	NP_667462.1
y0120	NP_667463.1
y0121	NP_667464.1
y0122	NP_667465.1
y0123	NP_667466.1
y0124	NP_667467.1
y0125	NP_667468.1
y0126	NP_667469.1
y0127	NP_667470.1
y0128	NP_667471.2
y0129	NP_667472.1
y0130	NP_667473.1
y0131	NP_667474.1
y0132	NP_667475.1
y0133	NP_667476.2
y0134	NP_667477.2
y0135	NP_667478.1
y0136	NP_667479.1
y0137	NP_667480.1
y0138	NP_667481.1
y0139	NP_667482.1
y0140	NP_667483.1
y0141	NP_667484.1
y0142	NP_667485.1
y0143	NP_667486.1
y0144	NP_667487.1
y0145	NP_667488.1
y0146	NP_667489.1
y0147	NP_667490.1
y0149	NP_667491.1
y0148	NP_667492.1
y0150	NP_667493.1
y0151	NP_667494.1
y0152	NP_667495.1
y0153	NP_667496.1
y0154	NP_667497.1
y0155	NP_667498.1
y0156	NP_667499.1
y0157	NP_667500.1
y0158	NP_667501.1
y0159	NP_667502.1
y0160	NP_667503.1
y0161	NP_667504.1
y0162	NP_667505.1
y0163	NP_667506.1
y0164	NP_667507.1
y0165	NP_667508.1
y0166	NP_667509.2
y0167	NP_667510.1
y0168	NP_667511.1
y0169	NP_667512.1
y0170	NP_667513.1
y0171	NP_667514.1
y0172	NP_667515.1
y0173	NP_667516.1
y0174	NP_667517.1
y0175	NP_667518.1
y0176	NP_667519.1
y0177	NP_667520.1
y0178	NP_667521.1
y0179	NP_667522.1
y0180	NP_667523.1
y0181	NP_667524.1
y0182	NP_667525.1
y0183	NP_667526.1
y0184	NP_667527.1
y0185	NP_667528.1
y0186	NP_667529.1
y0187	NP_667530.1
y0188	NP_667531.1
y0189	NP_667532.1
y0190	NP_667533.1
y0191	NP_667534.1
y0192	NP_667535.1
y0193	NP_667536.1
y0194	NP_667537.1
y0195	NP_667538.1
y0196	NP_667539.1
y0197	NP_667540.1
y0198	NP_667541.1
y0199	NP_667542.1
y0200	NP_667543.1
y0201	NP_667544.1
y0202	NP_667545.1
y0203	NP_667546.1
y0204	NP_667547.1
y0205	NP_667548.1
y0206	NP_667549.1
y0207	NP_667550.1
y0208	NP_667551.1
y0209	NP_667552.1
y0210	NP_667553.1
y0211	NP_667554.2
y0212	NP_667555.2
y0213	NP_667556.1
y0214	NP_667557.1
y0215	NP_667558.1
y0216	NP_667559.1
y0217	NP_667560.1
y0218	NP_667561.1
y0219	NP_667562.1
y0220	NP_667563.1
y0221	NP_667564.1
y0222	NP_667565.1
y0223	NP_667566.1
y0224	NP_667567.1
y0225	NP_667568.1
y0226	NP_667569.1
y0227	NP_667570.1
y0228	NP_667571.1
y0229	NP_667572.1
y0230	NP_667573.1
y0231	NP_667574.1
y0232	NP_667575.1
y0233	NP_667576.1
y0234	NP_667577.1
y0235	NP_667578.1
y0236	NP_667579.2
y0237	NP_667580.1
y0238	NP_667581.1
y0239	NP_667582.1
y0240	NP_667583.1
y0241	NP_667584.1
y0242	NP_667585.2
y0243	NP_667586.1
y0244	NP_667587.1
y0245	NP_667588.1
y0246	NP_667589.1
y0247	NP_667590.1
y0248	NP_667591.1
y0249	NP_667592.1
y0250	NP_667593.1
y0251	NP_667594.1
y0252	NP_667595.1
y0253	NP_667596.1
y0254	NP_667597.1
y0255	NP_667598.1
y0256	NP_667599.1
y0257	NP_667600.1
y0258	NP_667601.1
y0259	NP_667602.1
y0260	NP_667603.1
y0261	NP_667604.1
y0262	NP_667605.1
y0263	NP_667606.1
y0264	NP_667607.1
y0265	NP_667608.1
y0266	NP_667609.1
y0267	NP_667610.1
y0268	NP_667611.1
y0270	NP_667612.1
y0272	NP_667613.1
y0273	NP_667614.1
y0274	NP_667615.1
y0275	NP_667616.1
y0276	NP_667617.1
y0277	NP_667618.1
y0278	NP_667619.1
y0279	NP_667620.1
y0280	NP_667621.1
y0281	NP_667622.1
y0282	NP_667623.1
y0283	NP_667624.1
y0284	NP_667625.1
y0285	NP_667626.1
y0286	NP_667627.1
y0287	NP_667628.1
y0288	NP_667629.1
y0289	NP_667630.1
y0290	NP_667631.1
y0291	NP_667632.2
y0292	NP_667633.1
y0293	NP_667634.1
y0294	NP_667635.1
y0295	NP_667636.1
y0296	NP_667637.1
y0297	NP_667638.1
y0298	NP_667639.1
y0299	NP_667640.2
y0300	NP_667641.1
y0301	NP_667642.1
y0303	NP_667643.1
y0304	NP_667644.1
y0305	NP_667645.1
y0306	NP_667646.1
y0307	NP_667647.1
y0308	NP_667648.2
y0309	NP_667649.1
y0310	NP_667650.1
y0311	NP_667651.2
y0312	NP_667652.1
y0313	NP_667653.1
y0314	NP_667654.1
y0315	NP_667655.1
y0316	NP_667656.1
y0317	NP_667657.1
y0318	NP_667658.1
y0319	NP_667659.1
y0320	NP_667660.1
y0321	NP_667661.2
y0322	NP_667662.1
y0323	NP_667663.1
y0324	NP_667664.1
y0325	NP_667665.2
y0326	NP_667666.2
y0328	NP_667668.1
y0329	NP_667669.1
y0330	NP_667670.1
y0331	NP_667671.1
y0332	NP_667672.1
y0333	NP_667673.1
y0334	NP_667674.1
y0335	NP_667675.1
y0336	NP_667676.1
y0337	NP_667677.2
y0338	NP_667678.2
y0339	NP_667679.1
y0340	NP_667680.1
y0341	NP_667681.1
y0342	NP_667682.1
y0344	NP_667683.1
y0345	NP_667684.1
y0346	NP_667685.1
y0347	NP_667686.1
y0348	NP_667687.1
y0349	NP_667688.1
y0350	NP_667689.1
y0351	NP_667690.1
y0352	NP_667691.1
y0353	NP_667692.1
y0354	NP_667693.1
y0355	NP_667694.1
y0356	NP_667695.1
y0357	NP_667696.1
y0359	NP_667697.1
y0360	NP_667698.1
y0361	NP_667699.1
y0362	NP_667700.1
y0363	NP_667701.2
y0364	NP_667702.1
y0365	NP_667703.1
y0366	NP_667704.1
y0367	NP_667705.1
y0368	NP_667706.1
y0369	NP_667707.2
y0370	NP_667708.1
y0371	NP_667709.1
y0372	NP_667710.1
y0373	NP_667711.1
y0374	NP_667712.1
y0375	NP_667713.1
y0376	NP_667714.1
y0377	NP_667715.1
y0378	NP_667716.1
y0379	NP_667717.1
y0380	NP_667718.1
y0381	NP_667719.2
y0382	NP_667720.1
y0383	NP_667721.1
y0384	NP_667722.1
y0385	NP_667723.1
