PhyloID	Name	Serotype	Biotype	Sequence Type	Clone Type	Lineage	Isolate source	Year	Country	Isolation comments	Reference	Chr	Chr Length	CDS	Database	Release Date	Sequence ID	Comments	RefSeq FTP	GenBank FTP
1	Yersinia enterocolitica subsp enterocolitica 8081	O:O8			CC1	NCTC 13174	human septicaemia isolate	2010			"Thomson NR et al., PLoS Genet 2006 (Pubmed:17173484) ; Delihas N, BMC Microbiol 2003 (Pubmed:12834539)"	1	4615899	666	RefSeq	12/01/07	NC_008800.1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/345/GCF_000009345.1_ASM934v1	
2	Yersinia enterocolitica subsp. palearctica 105 5R				CC1	DSM 13030	human stool		Germany		Wang X et al., J Clin Microbiol 2011 (Pubmed:21325549)	1	4552107	666	RefSeq	10/03/11	NC_015224.1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/105/GCF_000192105.1_ASM19210v1	
3	Yersinia enterocolitica subsp palearctica Y11	O:3	4		CC1	CCUG 52867	human stool	2013	Germany		Batzilla J et al., J Bacteriol 2011 (Pubmed:21296963)	1	4553420	666	RefSeq	20/01/11	NC_017564.1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/175/GCF_000253175.1_ASM25317v1	
4	Yersinia enterocolitica LC20				CC1		rattus norvegicus feces	2008	China			1	4722762	666	RefSeq	21/11/17	NZ_CP007448.1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/597/945/GCF_000597945.1_ASM59794v2	
5	Yersinia enterocolitica WA				CC1		human		USA		Johnson SL et al., Genome Announc 2015 (Pubmed:25931590)	1	4548749	666	RefSeq	09/02/15	NZ_CP009367.1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/195/GCF_000834195.1_ASM83419v1	
6	Yersinia enterocolitica 2516-87	O:9			CC1				USA		Johnson SL et al., Genome Announc 2015 (Pubmed:25931590)	2	4534244	666	RefSeq	09/02/15	NZ_CP009838.1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/735/GCF_000834735.1_ASM83473v1	
7	Yersinia enterocolitica str YE53 03	O:5			CC1		human feces					1	4940199	666	RefSeq	06/01/14	NZ_HF571988.1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/115/GCF_000968115.1_ASM96811v1	
8	Yersinia enterocolitica FORC_002				CC1		gill of flatfish	2013	Corée du sud			1	4735535	666	RefSeq	05/05/15	NZ_CP011118.1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/987/925/GCF_000987925.1_ASM98792v1	
9	Yersinia enterocolitica FORC-002				CC1		food	2014	Corée du sud			1	4735534	666	RefSeq	01/10/15	NZ_CP009456.1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/304/755/GCF_001304755.1_ASM130475v1	
10	Yersinia enterocolitica KNG22703				CC1		human	1991	Belgium			1	4581645	666	RefSeq	02/10/15	NZ_CP011286.1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/635/GCF_001305635.1_ASM130563v1	
